"","Date.Time","TMP_T0","pH_T0","TMP_T4","pH_T4","TMP_T6","pH_T6","TMP_T5","pH_T5","TMP_T1","pH_T1","TMP_T7","pH_T7","TMP_T3","pH_T3","TMP_T2","pH_T2"
"4",2019-06-22 00:00:00,"-7.7","6.48","-7.5","5.44","15.8","6.98","16.5","7.11","-7.6","12.5","16.7","7.94","-7.8","4.48","-7.7","4.31"
"5",2019-06-22 00:10:00,"-7.7","6.48","-7.5","5.42","15.8","6.99","16.5","7.07","-7.6","12.5","16.7","7.95","-7.8","4.45","-7.7","4.31"
"6",2019-06-22 00:20:00,"-7.7","6.48","-7.5","5.40","15.8","6.96","16.6","7.07","-7.6","12.5","16.7","7.95","-7.8","4.43","-7.7","4.31"
"7",2019-06-22 00:30:00,"-7.7","6.48","-7.5","5.39","15.8","6.95","16.6","7.09","-7.6","12.5","16.7","7.97","-7.8","4.41","-7.7","4.31"
"8",2019-06-22 00:40:00,"-7.7","6.48","-7.5","5.38","15.8","6.95","16.6","7.08","-7.6","12.5","16.7","7.97","-7.8","4.40","-7.7","4.28"
"9",2019-06-22 00:50:00,"-7.7","6.48","-7.5","5.37","15.8","6.98","16.6","7.07","-7.6","12.5","16.7","7.97","-7.8","4.38","-7.7","4.27"
"10",2019-06-22 01:00:00,"-7.7","6.48","-7.5","5.35","15.8","6.96","16.6","7.09","-7.6","12.5","16.7","7.97","-7.8","4.36","-7.7","4.26"
"11",2019-06-22 01:10:00,"-7.7","6.48","-7.5","5.34","15.8","6.96","16.6","7.07","-7.6","12.5","16.7","7.96","-7.8","4.34","-7.7","4.25"
"12",2019-06-22 01:20:00,"-7.7","6.48","-7.5","5.33","15.8","6.95","16.6","7.07","-7.6","12.5","16.7","7.96","-7.8","4.33","-7.7","4.24"
"13",2019-06-22 01:30:00,"-7.7","6.48","-7.5","5.32","15.8","6.95","16.6","7.11","-7.6","12.5","16.7","7.95","-7.8","4.31","-7.7","4.23"
"14",2019-06-22 01:40:00,"-7.7","6.48","-7.5","5.31","15.8","6.96","16.6","7.07","-7.6","12.5","16.7","7.95","-7.8","4.28","-7.7","4.21"
