Date,Calib.Date,Timepoint,Type,Time,Sample.ID,Treatment,Temperature,pH.MV,Salinity,Notes
20190626,20190626,Initial,Header,11:30,T5,con.Elevated,15.2647,-17.8,29.47,head tank
20190626,20190626,Initial,Header,11:30,T7,con.Ambient,14.8406,-49.8,29.55,head tank
20190626,20190626,Initial,Tray,11:30,H1_T1,tray.Elevated,15.8744,-11.1,29.66,
20190626,20190626,Initial,Tray,11:30,H1_T2,tray.Ambient,15.3913,-40.2,29.64,
20190626,20190626,Initial,Tray,11:30,H1_T3,tray.Elevated,15.7188,-11.1,29.66,
20190626,20190626,Initial,Tray,11:30,H1_T4,tray.Ambient,15.3904,-45.8,29.61,
20190626,20190626,Initial,Tray,11:30,H1_T5,tray.Elevated,15.8691,-10.6,29.66,
20190626,20190626,Initial,Tray,11:30,H1_T6,tray.Ambient,15.3833,-45.2,29.61,
20190626,20190626,Initial,Tray,11:30,H1_T7,tray.Elevated,15.7869,-15.6,29.61,
20190626,20190626,Initial,Tray,11:30,H1_T8,tray.Ambient,15.3722,-49,29.61,
20190626,20190626,Initial,Tray,11:30,H2_T2,tray.Ambient,15.1148,-50.3,29.54,ambient parental
20190626,20190626,Initial,Tray,11:30,H2_T6,tray.Ambient,15.2574,-48.9,29.59,elevated parental
20190626,20190626,Initial,Tray,11:30,H2_T1,tray.Ambient,15.411,-46,29.61,ambient parental
20190626,20190626,Initial,Tray,11:30,H2_T7,tray.Ambient,15.5035,-42.6,29.62,ambient parental
20190626,20190626,Initial,Tray,11:30,H2_T5,tray.Ambient,15.5918,-39.7,29.63,elevated parental
20190626,20190626,Initial,Tray,11:30,H2_T3,tray.Ambient,15.6145,-38.7,29.64,elevated parental
20190703,20190703,Initial,Header,13:00,T5,con.Elevated,16.5885,-17.6,29.42,head tank
20190703,20190703,Initial,Header,13:00,T7,con.Ambient,16.2763,-55.8,29.46,head tank
20190703,20190703,Initial,Tray,13:00,H1_T1,tray.Elevated,17.1586,-10.2,29.53,
20190703,20190703,Initial,Tray,13:00,H1_T2,tray.Ambient,16.9018,-39.6,29.49,
20190703,20190703,Initial,Tray,13:00,H1_T3,tray.Elevated,16.9215,-8.7,29.49,
20190703,20190703,Initial,Tray,13:00,H1_T4,tray.Ambient,16.664,-50.7,29.43,
20190703,20190703,Initial,Tray,13:00,H1_T5,tray.Elevated,16.9605,-9.5,29.51,
20190703,20190703,Initial,Tray,13:00,H1_T6,tray.Ambient,16.9082,-40.6,29.48,
20190703,20190703,Initial,Tray,13:00,H1_T7,tray.Elevated,16.967,-12.6,29.51,
20190703,20190703,Initial,Tray,13:00,H1_T8,tray.Ambient,16.8606,-49.5,29.4,
20190703,20190703,Initial,Tray,13:00,H2_T3,tray.Ambient,16.1611,-55.1,29.34,elevated parental
20190703,20190703,Initial,Tray,13:00,H2_T5,tray.Ambient,16.2778,-51.9,29.44,elevated parental
20190703,20190703,Initial,Tray,13:00,H2_T7,tray.Ambient,16.4027,-48.8,29.45,ambient parental
20190703,20190703,Initial,Tray,13:00,H2_T1,tray.Ambient,16.4864,-45.4,29.42,ambient parental
20190703,20190703,Initial,Tray,13:00,H2_T6,tray.Ambient,16.5153,-43.9,29.44,elevated parental
