Well,490:490
A1,1.369
B1,0.079
C1,0.236
D1,0.101
E1,0.116
F1,0.158
G1,0.197
H1,0.12
A2,1.384
B2,0.08
C2,0.228
D2,0.098
E2,0.121
F2,0.165
G2,0.353
H2,0.124
A3,0.702
B3,0.069
C3,0.155
D3,0.105
E3,0.203
F3,0.095
G3,0.115
H3,0.137
A4,0.724
B4,0.069
C4,0.151
D4,0.105
E4,0.205
F4,0.101
G4,0.119
H4,0.139
A5,0.392
B5,0.064
C5,0.13
D5,0.115
E5,0.105
F5,0.114
G5,0.116
H5,0.245
A6,0.407
B6,0.064
C6,0.13
D6,0.123
E6,0.105
F6,0.123
G6,0.115
H6,0.25
A7,0.222
B7,0.06
C7,0.113
D7,0.101
E7,0.473
F7,0.147
G7,0.115
H7,0.184
A8,0.228
B8,0.059
C8,0.108
D8,0.104
E8,0.535
F8,0.145
G8,0.117
H8,0.181
A9,0.139
B9,0.147
C9,0.086
D9,0.093
E9,0.144
F9,0.115
G9,0.138
H9,0.153
A10,0.143
B10,0.147
C10,0.085
D10,0.095
E10,0.149
F10,0.113
G10,0.141
H10,0.146
A11,0.1
B11,0.1
C11,0.114
D11,0.188
E11,0.176
F11,0.142
G11,0.117
H11,0.079
A12,0.099
B12,0.101
C12,0.122
D12,0.181
E12,0.181
F12,0.144
G12,0.115
H12,0.08
