Well,490:490
A1,0.039
B1,0.038
C1,0.04
D1,0.04
E1,0.043
F1,0.238
G1,0.045
H1,0.047
A2,0.039
B2,0.039
C2,0.039
D2,0.04
E2,0.045
F2,0.041
G2,0.046
H2,0.045
A3,0.04
B3,0.039
C3,0.04
D3,0.04
E3,0.042
F3,0.04
G3,0.046
H3,0.048
A4,0.039
B4,0.039
C4,0.04
D4,0.039
E4,0.042
F4,0.04
G4,0.045
H4,0.045
A5,0.04
B5,0.039
C5,0.04
D5,0.039
E5,0.041
F5,0.044
G5,0.047
H5,0.046
A6,0.04
B6,0.039
C6,0.04
D6,0.039
E6,0.043
F6,0.044
G6,0.049
H6,0.046
A7,0.039
B7,0.039
C7,0.04
D7,0.041
E7,0.04
F7,0.039
G7,0.046
H7,0.045
A8,0.039
B8,0.039
C8,0.04
D8,0.04
E8,0.041
F8,0.04
G8,0.046
H8,0.047
A9,0.039
B9,0.039
C9,0.039
D9,0.043
E9,0.041
F9,0.041
G9,0.046
H9,0.046
A10,0.039
B10,0.04
C10,0.039
D10,0.043
E10,0.042
F10,0.042
G10,0.046
H10,0.048
A11,0.039
B11,0.04
C11,0.039
D11,0.042
E11,0.044
F11,0.042
G11,0.046
H11,0.045
A12,0.038
B12,0.04
C12,0.04
D12,0.041
E12,0.044
F12,0.044
G12,0.045
H12,0.046
