Well,490:490
A1,1.308
B1,0.095
C1,0.123
D1,0.14
E1,0.147
F1,0.046
G1,0.045
H1,0.045
A2,1.362
B2,0.095
C2,0.118
D2,0.139
E2,0.15
F2,0.046
G2,0.046
H2,0.045
A3,0.733
B3,0.084
C3,0.096
D3,0.207
E3,0.082
F3,0.046
G3,0.045
H3,0.046
A4,0.744
B4,0.082
C4,0.099
D4,0.212
E4,0.083
F4,0.046
G4,0.045
H4,0.046
A5,0.416
B5,0.078
C5,0.191
D5,0.054
E5,0.161
F5,0.045
G5,0.046
H5,0.048
A6,0.41
B6,0.078
C6,0.184
D6,0.053
E6,0.159
F6,0.045
G6,0.048
H6,0.046
A7,0.242
B7,0.073
C7,0.14
D7,0.039
E7,0.145
F7,0.045
G7,0.045
H7,0.045
A8,0.246
B8,0.072
C8,0.139
D8,0.04
E8,0.15
F8,0.046
G8,0.046
H8,0.045
A9,0.156
B9,0.201
C9,0.111
D9,0.042
E9,0.142
F9,0.045
G9,0.045
H9,0.045
A10,0.157
B10,0.215
C10,0.112
D10,0.042
E10,0.142
F10,0.046
G10,0.046
H10,0.046
A11,0.112
B11,0.199
C11,0.103
D11,0.219
E11,0.156
F11,0.045
G11,0.046
H11,0.045
A12,0.114
B12,0.201
C12,0.107
D12,0.228
E12,0.155
F12,0.046
G12,0.045
H12,0.046
