"Date","RUN","SDR_position","Lpc","Leq","Lz","alpha"
"20190704","1","A1",-3.050135338,-3.050135338,-3.216470588,0.4
"20190704","1","B1",-0.918817734,-0.918817734,-0.821333333,0.4
"20190704","1","C1",-5.334901961,0.633235294,0.633235294,0.4
"20190704","1","D1",-1.686994438,-1.686994438,-1.394917293,0.4
"20190704","1","A2",-3.158240508,-3.102967742,-3.102967742,0.4
"20190704","1","B2",-1.269876923,-1.292371542,-1.292371542,0.4
"20190704","1","C2",-2.349860627,-2.331862745,-2.262167183,0.4
"20190704","1","D2",-1.510976641,-1.510976641,-1.510976641,0.4
"20190704","1","A3",-2.770588235,-2.843220779,-2.843220779,0.4
"20190704","1","B3",-0.625945946,-0.63787013,-0.63787013,0.4
"20190704","1","C3",-2.148656126,-2.177647059,-2.177647059,0.4
"20190704","1","D3",-1.25388563,-1.130769231,-1.130769231,0.4
"20190704","1","A4",-1.317045177,-1.317045177,-1.317045177,0.4
"20190704","1","B4",-1.407677298,-1.407677298,-1.407677298,0.4
"20190704","1","C4",-1.023119939,-1.023119939,-1.023119939,0.4
"20190704","1","D4",-1.953650794,-1.953650794,-1.953650794,0.4
"20190704","1","A5",-0.581634783,-0.354385965,-0.354385965,0.4
"20190704","1","B5",-1.510158103,-1.534071146,-1.639019608,0.4
"20190704","1","C5",-0.730866911,-0.834411765,-0.834411765,0.4
"20190704","1","D5",-1.925784314,-1.925784314,-1.925784314,0.4
"20190704","1","A6",-0.709130435,-1.035859649,-1.317234262,0.4
"20190704","1","B6",-1.543039216,-1.709901961,-1.709901961,0.4
"20190704","1","C6",-1.671272727,-1.671272727,-1.503087719,0.4
"20190704","1","D6",-1.743786429,-1.408935065,-1.408935065,0.4
"20190716","1","A1",-2.649428195,-2.77371278,-2.811189639,0.4
"20190716","1","B1",-0.649965499,-0.555234068,-0.555234068,0.4
"20190716","1","C1",-2.102303973,-2.03997463,-2.046171278,0.4
"20190716","1","D1",-1.517123278,-1.525330866,-1.525330866,0.4
