Date,Tank.ID,Sw.Condition,Type,Length,RUN,SDR_position,Treatment.history,Treat.initial,Treat.Secondary,Notes
20190628,H1_T1,Mod.7.4,sample,6.412,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.316,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.219,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.715,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.738,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,7.561,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.614,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.503,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,3.922,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.035,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,7.089,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.381,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.268,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.524,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.555,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.825,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.782,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.187,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,7.741,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.584,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,3.938,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.728,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.542,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.472,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,2.412,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.616,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.836,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.313,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.796,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.289,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.077,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.201,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.388,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.298,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.496,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.99,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.827,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.356,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.115,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,3.636,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.373,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.692,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.373,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.82,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.273,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.374,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.312,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.416,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.453,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.475,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.511,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.073,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.037,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.288,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.077,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.772,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.264,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.656,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.393,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.6,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.47,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.207,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.052,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.116,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.471,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,6.708,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.454,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.624,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.538,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.862,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,7.616,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,7.688,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.823,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.914,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,4.866,NA,NA,Elevated,NA,NA,
20190628,H1_T1,Mod.7.4,sample,5.621,NA,NA,Elevated,NA,NA,
20190628,H1_T2,Amb.7.8,sample,3.876,NA,NA,Ambient,NA,NA,
20190628,H1_T2,Amb.7.8,sample,3.089,NA,NA,Ambient,NA,NA,
20190628,H1_T2,Amb.7.8,sample,3.52,NA,NA,Ambient,NA,NA,
20190628,H1_T2,Amb.7.8,sample,5.472,NA,NA,Ambient,NA,NA,
20190628,H1_T2,Amb.7.8,sample,4.671,NA,NA,Ambient,NA,NA,
20190628,H1_T2,Amb.7.8,sample,5.083,NA,NA,Ambient,NA,NA,
20190628,H1_T2,Amb.7.8,sample,5.913,NA,NA,Ambient,NA,NA,
