Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1620
Scope 1/1, Sample 1/9 (20190709_H1_T1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-9.0,18.3,NaN,,
0.0010,1,-9.4,18.3,0.0010,,
0.0025,2,-9.6,18.3,0.0015,,
0.0050,3,-9.7,18.3,0.0025,,
0.0085,4,-9.7,18.3,0.0030,,
0.0150,5,-9.3,18.3,0.0060,,
0.0230,6,-8.3,18.3,0.0075,,
0.0315,7,-6.8,18.3,0.0075,,
0.0400,8,-4.9,18.3,0.0075,,
0.0485,9,-2.9,18.3,0.0085,,
0.0560,10,-0.1,18.3,0.0070,,
0.0645,11,0.7,18.3,0.0075,,
0.0725,12,2.4,18.3,0.0075,,
0.0810,13,3.9,18.3,0.0075,,
0.0895,14,5.4,18.3,0.0075,,
0.0980,15,6.5,18.3,0.0085,,
0.1055,16,7.5,18.3,0.0070,,
0.1140,17,8.8,18.3,0.0075,,
0.1225,18,10.0,18.3,0.0075,,
0.1310,19,11.2,18.3,0.0075,,
0.1395,20,12.3,18.3,0.0075,,
0.1475,21,13.2,18.3,0.0080,,
0.1555,22,14.0,18.3,0.0075,,
0.1635,23,14.9,18.3,0.0075,,
0.1720,24,15.7,18.3,0.0075,,
0.1805,25,16.5,18.3,0.0075,,
0.1890,26,17.4,18.3,0.0075,,
0.1965,27,18.1,18.3,0.0070,,
0.2050,28,18.8,18.3,0.0075,,
0.2135,29,19.6,18.3,0.0075,,
0.2220,30,20.3,18.3,0.0075,,
0.2300,31,21.1,18.3,0.0075,,
0.2385,32,21.9,18.3,0.0075,,
0.2460,33,22.7,18.3,0.0075,,
0.2545,34,23.2,18.3,0.0075,,
0.2630,35,23.8,18.3,0.0075,,
0.2715,36,24.6,18.3,0.0075,,
0.2800,37,25.5,18.3,0.0075,,
0.2885,38,26.1,18.3,0.0075,,
0.2960,39,26.8,18.3,0.0070,,
0.3045,40,27.6,18.3,0.0075,,
0.3125,41,28.4,18.3,0.0075,,
0.3210,42,29.1,18.3,0.0075,,
0.3295,43,29.8,18.3,0.0075,,
0.3380,44,30.5,18.3,0.0075,,
0.3455,45,31.1,18.3,0.0070,,
0.3540,46,31.7,18.3,0.0075,,
