Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1621
Scope 1/1, Sample 1/5 (20190709_T2_tank)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-17.4,18.8,NaN,,
0.0010,1,-18.0,18.8,0.0010,,
0.0025,2,-18.2,18.8,0.0015,,
0.0050,3,-18.2,18.8,0.0025,,
0.0090,4,-17.9,18.8,0.0035,,
0.0150,5,-17.6,18.8,0.0055,,
0.0235,6,-16.5,18.8,0.0075,,
0.0320,7,-14.9,18.8,0.0075,,
0.0405,8,-12.8,18.8,0.0075,,
0.0480,9,-10.9,18.8,0.0070,,
0.0565,10,-8.6,18.8,0.0075,,
0.0650,11,-6.1,18.8,0.0075,,
0.0735,12,-4.0,18.8,0.0075,,
0.0815,13,-1.8,18.8,0.0075,,
0.0900,14,-0.1,18.8,0.0085,,
0.0980,15,1.0,18.8,0.0075,,
0.1060,16,2.6,18.8,0.0075,,
0.1145,17,4.0,18.8,0.0075,,
0.1230,18,5.4,18.8,0.0075,,
0.1315,19,6.4,18.8,0.0075,,
0.1390,20,7.2,18.8,0.0075,,
0.1475,21,8.4,18.8,0.0075,,
0.1560,22,9.4,18.8,0.0075,,
0.1645,23,10.5,18.8,0.0075,,
0.1725,24,11.6,18.8,0.0075,,
0.1810,25,12.5,18.8,0.0075,,
0.1885,26,13.3,18.8,0.0075,,
0.1970,27,14.2,18.8,0.0075,,
0.2055,28,15.0,18.8,0.0075,,
0.2140,29,15.8,18.8,0.0075,,
0.2225,30,16.7,18.8,0.0075,,
0.2310,31,17.5,18.8,0.0075,,
0.2385,32,18.3,18.8,0.0075,,
0.2470,33,19.1,18.8,0.0075,,
0.2555,34,20.1,18.8,0.0075,,
0.2635,35,20.8,18.8,0.0075,,
0.2720,36,21.7,18.8,0.0075,,
0.2805,37,22.4,18.8,0.0075,,
0.2880,38,23.0,18.8,0.0070,,
0.2965,39,23.8,18.8,0.0075,,
0.3050,40,24.6,18.8,0.0075,,
0.3135,41,25.4,18.8,0.0075,,
0.3220,42,26.3,18.8,0.0075,,
0.3305,43,27.0,18.8,0.0085,,
0.3380,44,27.7,18.8,0.0070,,
0.3465,45,28.5,18.8,0.0075,,
0.3545,46,29.2,18.8,0.0075,,
0.3630,47,29.9,18.8,0.0075,,
0.3715,48,30.4,18.8,0.0075,,
0.3790,49,30.9,18.8,0.0075,,
0.3875,50,31.6,18.8,0.0075,,
0.3960,51,32.4,18.9,0.0075,,
0.4045,52,33.1,18.9,0.0075,,
0.4130,53,33.9,18.9,0.0075,,
0.4215,54,34.7,18.9,0.0075,,
0.4290,55,35.4,18.9,0.0075,,
0.4370,56,36.0,18.9,0.0075,,
0.4455,57,36.5,18.9,0.0075,,
0.4540,58,37.2,18.9,0.0075,,
0.4625,59,37.9,18.9,0.0075,,
0.4710,60,38.6,18.9,0.0075,,
0.4785,61,39.2,18.9,0.0075,,
0.4870,62,39.9,18.9,0.0075,,
0.4955,63,40.5,18.9,0.0075,,
0.5040,64,41.2,18.9,0.0075,,
0.5120,65,41.9,18.9,0.0075,,
0.5205,66,42.5,18.9,0.0075,,
0.5280,67,43.3,18.9,0.0075,,
0.5365,68,44.0,18.9,0.0075,,
0.5450,69,44.8,18.9,0.0075,,
0.5535,70,45.5,18.9,0.0075,,
0.5620,71,46.2,18.9,0.0075,,
0.5705,72,47.0,18.9,0.0075,,
0.5780,73,47.8,18.9,0.0075,,
0.5865,74,48.4,18.9,0.0075,,
0.5945,75,49.2,18.9,0.0075,,
0.6030,76,50.1,18.9,0.0075,,
0.6115,77,50.9,18.9,0.0075,,
0.6200,78,51.5,18.9,0.0075,,
0.6275,79,52.1,18.9,0.0070,,
0.6360,80,53.0,18.9,0.0075,,
0.6445,81,53.6,18.9,0.0075,,
0.6530,82,54.6,18.9,0.0075,,
0.6615,83,55.4,18.9,0.0075,,
0.6695,84,55.9,18.9,0.0075,,
0.6775,85,56.5,18.9,0.0075,,
0.6855,86,57.4,18.9,0.0075,,
0.6940,87,58.1,18.9,0.0075,,
0.7025,88,58.8,18.9,0.0075,,
0.7110,89,59.4,18.9,0.0075,,
0.7195,90,60.0,18.9,0.0085,,
0.7270,91,60.7,18.9,0.0070,,
0.7355,92,61.4,18.9,0.0075,,
0.7440,93,62.2,18.9,0.0075,,
0.7525,94,63.0,18.9,0.0075,,
0.7605,95,63.9,18.9,0.0075,,
0.7685,96,64.7,18.9,0.0080,,
0.7765,97,65.6,18.9,0.0075,,
0.7850,98,66.6,18.9,0.0075,,
0.7935,99,67.2,18.9,0.0075,,
0.8020,100,68.0,18.9,0.0075,,
0.8105,101,68.7,18.9,0.0075,,
0.8180,102,69.3,18.9,0.0075,,
0.8265,103,69.9,18.9,0.0075,,
0.8350,104,70.7,18.9,0.0075,,
0.8430,105,71.9,18.9,0.0075,,
0.8515,106,72.6,18.9,0.0075,,
0.8600,107,73.4,18.9,0.0075,,
0.8685,108,74.2,18.9,0.0085,,
0.8760,109,75.3,18.9,0.0070,,
0.8845,110,76.3,18.9,0.0075,,
0.8930,111,77.1,18.9,0.0075,,
0.9015,112,78.0,18.9,0.0075,,
0.9095,113,79.1,18.9,0.0075,,
0.9175,114,80.1,18.9,0.0080,,
0.9255,115,81.0,18.9,0.0075,,
0.9340,116,81.9,18.9,0.0075,,
0.9425,117,82.5,18.9,0.0075,,
0.9510,118,83.5,18.9,0.0075,,
0.9595,119,84.6,19.0,0.0075,,
0.9670,120,85.6,18.9,0.0070,,
0.9755,121,86.5,18.9,0.0075,,
0.9840,122,87.7,18.9,0.0075,,
0.9925,123,89.1,19.0,0.0075,,
1.0005,124,90.3,19.0,0.0075,,
1.0090,125,91.6,19.0,0.0075,,
1.0165,126,92.6,19.0,0.0070,,
1.0250,127,94.1,19.0,0.0075,,
1.0335,128,95.4,19.0,0.0075,,
1.0420,129,96.7,19.0,0.0075,,
1.0505,130,98.2,19.0,0.0075,,
1.0590,131,99.9,19.0,0.0085,,
1.0665,132,101.2,19.0,0.0070,,
1.0750,133,102.7,19.0,0.0075,,
1.0835,134,104.3,19.0,0.0075,,
1.0915,135,105.9,19.0,0.0075,,
1.1000,136,107.6,19.0,0.0075,,
1.1085,137,109.2,19.0,0.0085,,
1.1160,138,111.1,19.0,0.0070,,
1.1245,139,113.2,19.0,0.0075,,
1.1330,140,115.1,19.0,0.0075,,
1.1415,141,117.8,19.0,0.0075,,
1.1495,142,120.4,19.0,0.0075,,
1.1580,143,123.5,19.0,0.0070,,
1.1655,144,125.7,19.0,0.0075,,
1.1740,145,128.4,19.0,0.0075,,
1.1825,146,131.1,19.0,0.0075,,
1.1910,147,133.7,19.0,0.0075,,
1.1995,148,137.6,19.0,0.0075,,
1.2080,149,140.9,19.0,0.0075,,
1.2155,150,143.6,19.0,0.0070,,
1.2240,151,147.4,19.0,0.0075,,
1.2325,152,151.5,19.0,0.0075,,
1.2405,153,154.9,19.0,0.0075,,
1.2490,154,158.3,19.0,0.0075,,
1.2575,155,161.5,19.0,0.0075,,
1.2650,156,164.1,19.0,0.0070,,
1.2735,157,167.1,19.0,0.0075,,
1.2820,158,169.8,19.0,0.0075,,
1.2905,159,172.1,19.0,0.0075,,
1.2990,160,174.3,19.0,0.0075,,
1.3070,161,176.2,19.0,0.0080,,
1.3150,162,178.1,19.0,0.0075,,
1.3235,163,180.2,19.0,0.0075,,
1.3315,164,182.0,19.0,0.0075,,
1.3400,165,183.7,19.0,0.0075,,
1.3490,166,185.1,19.0,0.0075,,
1.3490,406,188.5,19.2,0.0000,,
1.3495,407,188.5,19.2,0.0005,,
1.3510,408,188.6,19.2,0.0010,,
1.3535,409,188.7,19.2,0.0020,,
1.3575,410,189.1,19.2,0.0030,,
1.3635,411,189.8,19.2,0.0045,,
1.3720,412,190.7,19.2,0.0060,,
1.3795,413,191.6,19.2,0.0060,,
1.3880,414,192.9,19.2,0.0065,,
1.3965,415,194.1,19.2,0.0065,,
1.4050,416,195.1,19.2,0.0060,,
1.4130,417,196.1,19.2,0.0055,,
1.4215,418,197.1,19.2,0.0060,,
1.4290,419,197.9,19.2,0.0060,,
1.4375,420,198.9,19.2,0.0065,,
1.4460,421,199.8,19.2,0.0060,,
1.4545,422,200.7,19.2,0.0060,,
1.4630,423,201.5,19.2,0.0060,,
1.4715,424,202.2,19.2,0.0065,,
1.4790,425,203.0,19.2,0.0060,,
1.4875,426,203.7,19.2,0.0065,,
1.4960,427,204.6,19.2,0.0060,,
1.5040,428,205.2,19.2,0.0055,,
1.5125,429,206.1,19.2,0.0060,,
1.5210,430,206.6,19.2,0.0065,,
1.5285,431,207.1,19.2,0.0060,,
1.5370,432,207.8,19.2,0.0065,,
1.5455,433,208.5,19.2,0.0060,,
1.5540,434,209.1,19.2,0.0060,,
1.5625,435,209.7,19.2,0.0060,,
1.5700,436,210.2,19.2,0.0060,,
1.5785,437,210.8,19.3,0.0065,,
1.5865,438,211.3,19.3,0.0060,,
1.5950,439,212.0,19.3,0.0060,,
1.6035,440,212.6,19.3,0.0060,,
1.6120,441,213.0,19.3,0.0060,,
1.6205,442,213.6,19.3,0.0060,,
1.6280,443,214.0,19.3,0.0060,,
1.6365,444,214.4,19.3,0.0065,,
1.6450,445,215.1,19.3,0.0060,,
1.6530,446,215.5,19.3,0.0055,,
1.6615,447,216.0,19.3,0.0060,,
1.6700,448,216.5,19.3,0.0060,,
1.6775,449,216.8,19.3,0.0060,,
1.6860,450,217.2,19.3,0.0065,,
1.6945,451,217.7,19.3,0.0065,,
1.7030,452,218.1,19.3,0.0060,,
1.7110,453,218.5,19.3,0.0055,,
1.7195,454,218.9,19.3,0.0060,,
1.7270,455,219.4,19.3,0.0060,,
1.7355,456,219.8,19.3,0.0065,,
1.7440,457,220.2,19.3,0.0065,,
1.7525,458,220.5,19.3,0.0060,,
1.7610,459,220.9,19.3,0.0060,,
1.7695,460,221.4,19.3,0.0060,,
1.7770,461,221.7,19.3,0.0060,,
1.7855,462,222.0,19.3,0.0065,,
1.7940,463,222.4,19.3,0.0065,,
1.8020,464,222.7,19.3,0.0055,,
1.8105,465,223.1,19.3,0.0060,,
1.8190,466,223.4,19.3,0.0060,,
1.8265,467,223.8,19.3,0.0060,,
1.8350,468,224.1,19.3,0.0065,,
1.8435,469,224.5,19.3,0.0060,,
1.8520,470,224.9,19.3,0.0060,,
1.8605,471,225.2,19.3,0.0060,,
1.8685,472,225.4,19.3,0.0060,,
1.8765,473,225.7,19.3,0.0060,,
1.8845,474,226.0,19.3,0.0060,,
1.8930,475,226.4,19.3,0.0060,,
1.9015,476,226.7,19.3,0.0060,,
1.9100,477,227.0,19.3,0.0060,,
1.9185,478,227.3,19.3,0.0065,,
1.9260,479,227.5,19.3,0.0060,,
1.9345,480,227.9,19.3,0.0065,,
1.9430,481,228.1,19.3,0.0060,,
1.9515,482,228.5,19.3,0.0060,,
1.9595,483,228.7,19.3,0.0055,,
1.9675,484,229.0,19.3,0.0060,,
1.9755,485,229.2,19.3,0.0060,,
1.9840,486,229.5,19.3,0.0065,,
1.9925,487,229.8,19.3,0.0060,,
2.0010,488,230.1,19.3,0.0060,,
2.0095,489,230.4,19.3,0.0060,,
2.0170,490,230.5,19.3,0.0060,,
2.0255,491,230.9,19.3,0.0065,,
2.0340,492,231.1,19.3,0.0065,,
2.0420,493,231.4,19.3,0.0055,,
2.0505,494,231.6,19.3,0.0060,,
2.0590,495,231.9,19.3,0.0060,,
2.0665,496,232.1,19.3,0.0060,,
2.0750,497,232.4,19.3,0.0065,,
2.0835,498,232.6,19.3,0.0065,,
2.0920,499,232.8,19.3,0.0060,,
2.1005,500,233.0,19.3,0.0060,,
2.1085,501,233.3,19.3,0.0055,,
2.1165,502,233.5,19.3,0.0060,,
2.1245,503,233.8,19.3,0.0060,,
2.1330,504,234.0,19.3,0.0065,,
2.1410,505,234.2,19.3,0.0055,,
2.1465,506,234.4,19.3,0.0040,,
2.1485,507,234.5,19.3,0.0015,,
2.1495,508,234.6,19.3,0.0010,,
2.1505,509,234.6,19.3,0.0010,,
2.1525,510,234.7,19.3,0.0015,,
2.1550,511,234.7,19.3,0.0020,,
2.1590,512,234.8,19.3,0.0030,,
2.1640,513,234.9,19.3,0.0035,,
2.1680,514,235.0,19.3,0.0030,,
2.1695,515,235.0,19.3,0.0020,,
Scope 1/1, Sample 2/5 (20190709_T1_tank)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-4.6,19.0,NaN,,
0.0005,1,-5.2,19.0,0.0005,,
0.0025,2,-5.3,19.0,0.0020,,
0.0050,3,-5.2,19.0,0.0025,,
0.0090,4,-5.2,19.0,0.0035,,
0.0150,5,-4.7,19.0,0.0055,,
0.0235,6,-3.6,19.0,0.0075,,
0.0310,7,-2.1,19.0,0.0075,,
0.0395,8,-0.1,19.0,0.0085,,
0.0480,9,1.0,19.0,0.0075,,
0.0565,10,2.5,19.0,0.0075,,
0.0650,11,3.7,19.0,0.0075,,
0.0730,12,5.0,19.1,0.0075,,
0.0810,13,6.0,19.0,0.0080,,
0.0890,14,6.9,19.0,0.0080,,
0.0975,15,8.0,19.0,0.0075,,
0.1060,16,9.2,19.0,0.0075,,
0.1145,17,10.2,19.0,0.0075,,
0.1230,18,11.1,19.1,0.0075,,
0.1305,19,11.9,19.1,0.0075,,
0.1390,20,12.9,19.1,0.0085,,
0.1475,21,13.8,19.1,0.0075,,
0.1560,22,14.6,19.1,0.0075,,
0.1640,23,15.3,19.1,0.0075,,
0.1725,24,16.0,19.1,0.0075,,
0.1800,25,16.7,19.1,0.0075,,
0.1885,26,17.5,19.1,0.0085,,
0.1970,27,18.2,19.1,0.0075,,
0.2055,28,19.0,19.1,0.0075,,
0.2140,29,19.7,19.1,0.0075,,
0.2225,30,20.3,19.1,0.0075,,
0.2300,31,21.0,19.1,0.0075,,
0.2385,32,21.7,19.1,0.0085,,
0.2465,33,22.5,19.1,0.0075,,
0.2550,34,23.2,19.1,0.0075,,
0.2635,35,23.8,19.1,0.0075,,
0.2720,36,24.4,19.1,0.0075,,
0.2795,37,25.0,19.1,0.0075,,
0.2880,38,25.8,19.1,0.0085,,
0.2965,39,26.4,19.1,0.0085,,
0.3050,40,27.0,19.1,0.0075,,
0.3130,41,27.7,19.1,0.0075,,
0.3215,42,28.3,19.1,0.0075,,
0.3290,43,28.8,19.1,0.0075,,
0.3375,44,29.4,19.1,0.0085,,
0.3460,45,30.1,19.1,0.0085,,
0.3545,46,30.8,19.1,0.0075,,
0.3630,47,31.5,19.1,0.0075,,
0.3715,48,32.2,19.1,0.0075,,
0.3795,49,32.8,19.1,0.0080,,
0.3875,50,33.4,19.1,0.0080,,
0.3955,51,34.2,19.1,0.0080,,
0.4040,52,34.7,19.1,0.0075,,
0.4125,53,35.4,19.1,0.0075,,
0.4210,54,36.0,19.1,0.0075,,
0.4285,55,36.4,19.1,0.0075,,
0.4370,56,37.3,19.1,0.0085,,
0.4455,57,37.9,19.1,0.0085,,
0.4540,58,38.6,19.1,0.0075,,
0.4620,59,39.2,19.1,0.0075,,
0.4705,60,39.9,19.1,0.0075,,
0.4780,61,40.4,19.1,0.0075,,
0.4865,62,41.0,19.1,0.0085,,
0.4950,63,41.8,19.1,0.0085,,
0.5035,64,42.5,19.1,0.0075,,
0.5120,65,43.2,19.1,0.0075,,
0.5205,66,43.8,19.1,0.0075,,
0.5280,67,44.4,19.1,0.0075,,
0.5365,68,45.1,19.1,0.0085,,
0.5450,69,45.8,19.1,0.0075,,
0.5530,70,46.4,19.1,0.0075,,
0.5615,71,47.1,19.1,0.0075,,
0.5700,72,47.6,19.1,0.0075,,
0.5775,73,48.2,19.1,0.0075,,
0.5860,74,48.9,19.1,0.0085,,
0.5945,75,49.6,19.1,0.0075,,
0.6030,76,50.2,19.1,0.0075,,
0.6115,77,50.9,19.1,0.0075,,
0.6195,78,51.6,19.1,0.0075,,
0.6275,79,52.2,19.1,0.0080,,
0.6355,80,53.0,19.1,0.0080,,
0.6440,81,53.7,19.1,0.0075,,
0.6525,82,54.4,19.1,0.0075,,
0.6610,83,55.2,19.1,0.0075,,
0.6695,84,55.9,19.1,0.0075,,
0.6770,85,56.5,19.1,0.0075,,
0.6855,86,57.2,19.1,0.0085,,
0.6940,87,57.8,19.1,0.0075,,
0.7025,88,58.6,19.1,0.0075,,
0.7105,89,59.4,19.1,0.0075,,
0.7190,90,59.9,19.1,0.0085,,
0.7265,91,60.6,19.1,0.0075,,
0.7350,92,61.3,19.1,0.0085,,
0.7435,93,62.0,19.1,0.0075,,
0.7520,94,62.7,19.1,0.0075,,
0.7605,95,63.4,19.1,0.0075,,
0.7690,96,64.3,19.1,0.0085,,
0.7765,97,65.1,19.1,0.0075,,
0.7850,98,65.9,19.1,0.0085,,
0.7930,99,66.6,19.1,0.0075,,
0.8015,100,67.3,19.1,0.0075,,
0.8100,101,68.2,19.1,0.0075,,
0.8175,102,68.9,19.1,0.0075,,
0.8260,103,69.8,19.1,0.0085,,
0.8345,104,70.6,19.2,0.0085,,
0.8430,105,71.5,19.1,0.0075,,
