Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1729
Scope 1/1, Sample 1/9 (20190729_7)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-3.2,19.6,NaN,,
0.0010,1,-4.2,19.6,0.0010,,
0.0025,2,-4.4,19.6,0.0015,,
0.0050,3,-4.6,19.6,0.0020,,
0.0085,4,-4.6,19.6,0.0030,,
0.0150,5,-4.3,19.6,0.0060,,
0.0230,6,-3.6,19.6,0.0075,,
0.0315,7,-2.4,19.7,0.0075,,
0.0400,8,-0.5,19.6,0.0075,,
0.0485,9,0.2,19.7,0.0070,,
0.0560,10,1.6,19.7,0.0070,,
0.0645,11,3.0,19.7,0.0075,,
0.0730,12,4.5,19.7,0.0075,,
0.0810,13,5.8,19.7,0.0075,,
0.0895,14,6.9,19.7,0.0075,,
0.0980,15,8.0,19.7,0.0070,,
0.1055,16,9.0,19.7,0.0070,,
0.1140,17,10.1,19.7,0.0075,,
0.1225,18,11.1,19.7,0.0075,,
0.1310,19,12.1,19.7,0.0075,,
0.1395,20,13.0,19.7,0.0075,,
0.1480,21,13.9,19.7,0.0070,,
0.1555,22,14.7,19.7,0.0070,,
0.1635,23,15.5,19.7,0.0075,,
0.1720,24,16.2,19.7,0.0075,,
0.1805,25,16.9,19.7,0.0075,,
0.1890,26,17.7,19.7,0.0075,,
0.1975,27,18.4,19.7,0.0070,,
0.2050,28,19.0,19.7,0.0070,,
0.2135,29,19.8,19.7,0.0075,,
0.2220,30,20.5,19.7,0.0075,,
0.2300,31,21.2,19.7,0.0075,,
0.2385,32,21.9,19.7,0.0075,,
0.2470,33,22.6,19.7,0.0070,,
0.2545,34,23.1,19.7,0.0070,,
0.2630,35,23.8,19.7,0.0075,,
0.2715,36,24.4,19.7,0.0075,,
0.2800,37,25.2,19.7,0.0075,,
0.2885,38,25.8,19.7,0.0075,,
0.2970,39,26.4,19.7,0.0070,,
0.3045,40,27.1,19.7,0.0070,,
0.3130,41,27.7,19.7,0.0075,,
0.3210,42,28.4,19.7,0.0075,,
0.3295,43,29.1,19.7,0.0075,,
0.3380,44,29.8,19.7,0.0075,,
0.3465,45,30.4,19.7,0.0075,,
0.3540,46,31.0,19.7,0.0070,,
0.3625,47,31.7,19.7,0.0075,,
0.3710,48,32.3,19.7,0.0075,,
0.3795,49,33.0,19.7,0.0075,,
0.3875,50,33.6,19.7,0.0075,,
0.3960,51,34.1,19.7,0.0075,,
0.4040,52,34.8,19.7,0.0075,,
0.4120,53,35.4,19.7,0.0075,,
0.4205,54,36.2,19.7,0.0075,,
0.4290,55,36.8,19.7,0.0075,,
0.4375,56,37.4,19.7,0.0070,,
0.4450,57,38.0,19.7,0.0070,,
0.4535,58,38.6,19.7,0.0075,,
0.4620,59,39.2,19.7,0.0075,,
0.4705,60,39.8,19.7,0.0075,,
0.4785,61,40.5,19.7,0.0075,,
0.4870,62,41.2,19.7,0.0070,,
0.4945,63,41.8,19.7,0.0070,,
0.5030,64,42.4,19.7,0.0075,,
0.5115,65,43.0,19.7,0.0075,,
0.5200,66,43.7,19.7,0.0075,,
0.5285,67,44.4,19.7,0.0075,,
0.5370,68,45.0,19.7,0.0070,,
0.5445,69,45.7,19.7,0.0070,,
0.5530,70,46.3,19.7,0.0075,,
0.5615,71,47.0,19.7,0.0075,,
0.5695,72,47.7,19.7,0.0075,,
0.5780,73,48.3,19.7,0.0075,,
0.5865,74,49.0,19.7,0.0070,,
0.5940,75,49.6,19.7,0.0070,,
0.6025,76,50.3,19.7,0.0075,,
0.6110,77,50.9,19.7,0.0075,,
0.6195,78,51.6,19.7,0.0075,,
0.6280,79,52.4,19.7,0.0075,,
0.6360,80,53.0,19.7,0.0065,,
0.6440,81,53.5,19.7,0.0075,,
0.6520,82,54.2,19.7,0.0075,,
0.6605,83,54.8,19.7,0.0075,,
0.6690,84,55.5,19.7,0.0075,,
0.6775,85,56.3,19.7,0.0075,,
0.6860,86,57.0,19.7,0.0070,,
0.6935,87,57.8,19.7,0.0070,,
0.7020,88,58.5,19.7,0.0075,,
0.7105,89,59.1,19.7,0.0075,,
0.7190,90,59.8,19.7,0.0075,,
0.7270,91,60.6,19.7,0.0075,,
0.7355,92,61.4,19.7,0.0075,,
0.7430,93,62.1,19.7,0.0070,,
0.7515,94,62.9,19.7,0.0075,,
0.7600,95,63.7,19.7,0.0075,,
0.7685,96,64.5,19.7,0.0075,,
0.7770,97,65.3,19.7,0.0075,,
0.7845,98,66.0,19.7,0.0070,,
0.7930,99,67.0,19.7,0.0075,,
0.8015,100,67.9,19.7,0.0075,,
0.8100,101,68.6,19.7,0.0075,,
0.8180,102,69.4,19.7,0.0075,,
0.8265,103,70.1,19.7,0.0070,,
0.8340,104,70.9,19.7,0.0070,,
0.8425,105,71.9,19.7,0.0075,,
0.8510,106,72.8,19.7,0.0075,,
0.8595,107,73.7,19.7,0.0075,,
0.8680,108,74.7,19.7,0.0075,,
0.8765,109,75.5,19.7,0.0075,,
0.8840,110,76.4,19.7,0.0070,,
0.8925,111,77.3,19.7,0.0075,,
0.9010,112,78.3,19.7,0.0075,,
0.9090,113,79.2,19.7,0.0075,,
0.9175,114,80.2,19.7,0.0075,,
0.9260,115,81.0,19.7,0.0075,,
0.9335,116,82.0,19.7,0.0070,,
0.9420,117,83.0,19.7,0.0075,,
0.9505,118,84.1,19.7,0.0075,,
0.9590,119,85.2,19.7,0.0075,,
0.9675,120,86.3,19.7,0.0070,,
0.9750,121,87.5,19.7,0.0070,,
0.9835,122,88.7,19.7,0.0075,,
0.9915,123,90.0,19.7,0.0075,,
1.0000,124,91.3,19.7,0.0075,,
1.0085,125,92.5,19.7,0.0075,,
1.0170,126,93.9,19.7,0.0070,,
1.0245,127,95.1,19.7,0.0070,,
1.0330,128,96.5,19.7,0.0075,,
1.0415,129,97.9,19.7,0.0075,,
1.0500,130,99.6,19.7,0.0075,,
1.0585,131,101.2,19.7,0.0075,,
1.0665,132,102.9,19.7,0.0065,,
1.0745,133,104.5,19.7,0.0075,,
1.0825,134,106.5,19.7,0.0075,,
1.0910,135,108.6,19.7,0.0075,,
1.0995,136,110.8,19.7,0.0075,,
1.1080,137,112.7,19.7,0.0075,,
1.1165,138,115.3,19.7,0.0070,,
1.1250,139,117.9,19.8,0.0075,,
1.1325,140,120.3,19.7,0.0070,,
1.1410,141,122.8,19.7,0.0075,,
1.1490,142,125.8,19.7,0.0075,,
1.1575,143,128.9,19.8,0.0070,,
1.1660,144,132.4,19.7,0.0075,,
1.1745,145,135.0,19.8,0.0075,,
1.1820,146,138.7,19.8,0.0070,,
1.1905,147,142.0,19.8,0.0075,,
1.1990,148,145.3,19.8,0.0075,,
1.2075,149,149.1,19.8,0.0075,,
1.2155,150,152.5,19.8,0.0075,,
1.2240,151,155.7,19.8,0.0075,,
1.2315,152,159.1,19.8,0.0070,,
1.2400,153,162.2,19.8,0.0075,,
1.2485,154,164.8,19.8,0.0075,,
1.2570,155,167.5,19.8,0.0075,,
1.2655,156,170.2,19.8,0.0075,,
1.2740,157,172.6,19.8,0.0070,,
1.2815,158,174.6,19.8,0.0070,,
1.2900,159,176.8,19.8,0.0075,,
1.2980,160,178.5,19.8,0.0075,,
1.3065,161,180.7,19.8,0.0075,,
