Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1732
Scope 1/1, Sample 1/3 (20190730_JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-55.5,19.5,NaN,,
0.0005,1,-55.8,19.5,0.0005,,
0.0025,2,-55.8,19.5,0.0020,,
0.0050,3,-55.8,19.5,0.0025,,
0.0090,4,-55.7,19.5,0.0035,,
0.0150,5,-55.6,19.5,0.0055,,
0.0235,6,-55.1,19.5,0.0075,,
0.0310,7,-54.5,19.5,0.0075,,
0.0395,8,-53.6,19.5,0.0085,,
0.0480,9,-52.8,19.5,0.0075,,
0.0565,10,-51.6,19.5,0.0075,,
0.0650,11,-50.3,19.5,0.0075,,
0.0725,12,-49.0,19.5,0.0075,,
0.0810,13,-47.5,19.5,0.0085,,
0.0895,14,-45.9,19.5,0.0085,,
0.0980,15,-44.2,19.5,0.0075,,
0.1060,16,-42.3,19.5,0.0075,,
0.1145,17,-40.5,19.5,0.0075,,
0.1225,18,-38.7,19.5,0.0080,,
0.1305,19,-36.5,19.5,0.0080,,
0.1390,20,-34.3,19.5,0.0075,,
0.1475,21,-31.9,19.5,0.0075,,
0.1560,22,-29.8,19.5,0.0075,,
0.1645,23,-27.7,19.5,0.0075,,
0.1720,24,-25.9,19.5,0.0075,,
0.1805,25,-24.1,19.5,0.0085,,
0.1890,26,-22.5,19.5,0.0075,,
0.1970,27,-21.0,19.5,0.0075,,
0.2055,28,-19.6,19.5,0.0075,,
0.2140,29,-18.2,19.5,0.0075,,
0.2215,30,-17.1,19.5,0.0075,,
0.2300,31,-15.9,19.5,0.0085,,
0.2385,32,-14.7,19.5,0.0075,,
0.2470,33,-13.6,19.5,0.0075,,
0.2555,34,-12.5,19.5,0.0075,,
0.2630,35,-11.6,19.5,0.0075,,
0.2715,36,-10.6,19.5,0.0085,,
0.2800,37,-9.7,19.5,0.0085,,
0.2880,38,-8.8,19.5,0.0075,,
0.2965,39,-7.8,19.5,0.0075,,
0.3050,40,-6.8,19.5,0.0075,,
0.3125,41,-6.0,19.5,0.0075,,
0.3210,42,-5.1,19.5,0.0085,,
0.3295,43,-4.3,19.5,0.0075,,
0.3380,44,-3.3,19.5,0.0075,,
0.3465,45,-2.3,19.5,0.0075,,
0.3545,46,-1.0,19.5,0.0075,,
0.3625,47,-0.1,19.5,0.0080,,
0.3705,48,0.1,19.5,0.0080,,
0.3790,49,0.8,19.5,0.0085,,
0.3875,50,1.7,19.5,0.0075,,
0.3960,51,2.4,19.5,0.0075,,
0.4045,52,3.2,19.5,0.0075,,
0.4120,53,3.9,19.5,0.0075,,
0.4205,54,4.8,19.5,0.0085,,
0.4290,55,5.5,19.5,0.0085,,
0.4370,56,6.2,19.5,0.0075,,
0.4455,57,7.0,19.5,0.0075,,
0.4540,58,7.7,19.5,0.0075,,
0.4625,59,8.5,19.5,0.0085,,
0.4700,60,9.4,19.5,0.0075,,
0.4785,61,10.2,19.5,0.0085,,
0.4870,62,11.0,19.5,0.0075,,
0.4955,63,11.8,19.5,0.0075,,
0.5035,64,12.7,19.5,0.0075,,
0.5115,65,13.5,19.5,0.0080,,
0.5195,66,14.3,19.5,0.0080,,
0.5280,67,15.2,19.5,0.0085,,
0.5365,68,16.0,19.5,0.0075,,
0.5450,69,16.7,19.5,0.0075,,
0.5535,70,17.5,19.5,0.0075,,
0.5610,71,18.2,19.5,0.0075,,
0.5695,72,19.0,19.5,0.0085,,
0.5780,73,19.8,19.5,0.0085,,
0.5865,74,20.7,19.5,0.0075,,
0.5945,75,21.5,19.5,0.0075,,
0.6030,76,22.3,19.5,0.0075,,
0.6105,77,23.0,19.5,0.0075,,
0.6190,78,23.9,19.5,0.0085,,
0.6275,79,24.7,19.5,0.0075,,
0.6360,80,25.5,19.5,0.0075,,
0.6445,81,26.3,19.5,0.0075,,
0.6530,82,27.1,19.5,0.0075,,
0.6605,83,27.9,19.5,0.0075,,
0.6690,84,28.7,19.5,0.0085,,
0.6770,85,29.6,19.5,0.0075,,
0.6855,86,30.4,19.5,0.0075,,
0.6940,87,31.3,19.5,0.0075,,
0.7025,88,32.2,19.5,0.0075,,
0.7100,89,33.0,19.5,0.0075,,
0.7185,90,33.8,19.5,0.0085,,
0.7270,91,34.7,19.5,0.0075,,
0.7355,92,35.6,19.5,0.0075,,
0.7435,93,36.5,19.5,0.0075,,
0.7520,94,37.3,19.5,0.0085,,
0.7595,95,38.2,19.5,0.0075,,
0.7680,96,39.1,19.5,0.0085,,
0.7765,97,40.0,19.5,0.0075,,
0.7850,98,41.0,19.5,0.0075,,
0.7935,99,41.9,19.5,0.0075,,
0.8020,100,42.8,19.5,0.0075,,
0.8095,101,43.7,19.5,0.0075,,
0.8180,102,44.6,19.5,0.0085,,
0.8260,103,45.6,19.5,0.0075,,
0.8345,104,46.6,19.5,0.0075,,
0.8430,105,47.5,19.5,0.0075,,
0.8515,106,48.4,19.5,0.0075,,
0.8590,107,49.4,19.5,0.0075,,
0.8675,108,50.4,19.5,0.0085,,
0.8760,109,51.4,19.5,0.0075,,
0.8845,110,52.4,19.5,0.0075,,
0.8930,111,53.3,19.5,0.0075,,
0.9010,112,54.4,19.5,0.0075,,
0.9085,113,55.4,19.5,0.0075,,
0.9170,114,56.4,19.5,0.0085,,
0.9255,115,57.5,19.5,0.0075,,
0.9340,116,58.7,19.6,0.0075,,
0.9425,117,59.7,19.6,0.0075,,
0.9510,118,60.9,19.6,0.0075,,
0.9585,119,61.9,19.6,0.0075,,
0.9670,120,63.2,19.6,0.0085,,
0.9755,121,64.4,19.6,0.0075,,
0.9835,122,65.7,19.6,0.0075,,
0.9920,123,66.9,19.6,0.0075,,
1.0005,124,68.0,19.6,0.0085,,
1.0080,125,69.4,19.6,0.0075,,
1.0165,126,70.8,19.6,0.0085,,
1.0250,127,72.2,19.6,0.0075,,
1.0335,128,73.7,19.6,0.0075,,
1.0420,129,75.2,19.6,0.0075,,
1.0500,130,76.6,19.6,0.0080,,
1.0580,131,78.2,19.6,0.0080,,
1.0660,132,79.6,19.6,0.0080,,
1.0745,133,81.3,19.6,0.0075,,
1.0830,134,83.2,19.6,0.0075,,
1.0915,135,84.9,19.6,0.0075,,
1.0990,136,86.6,19.6,0.0075,,
1.1075,137,88.6,19.6,0.0085,,
1.1160,138,90.8,19.6,0.0085,,
1.1245,139,92.9,19.6,0.0075,,
1.1330,140,95.2,19.6,0.0075,,
1.1410,141,98.0,19.6,0.0075,,
1.1490,142,100.5,19.6,0.0080,,
1.1570,143,103.4,19.6,0.0080,,
1.1655,144,106.2,19.6,0.0075,,
1.1740,145,109.0,19.6,0.0075,,
1.1825,146,112.2,19.6,0.0075,,
1.1910,147,115.7,19.6,0.0075,,
1.1985,148,119.0,19.6,0.0075,,
1.2070,149,122.9,19.6,0.0085,,
1.2155,150,127.2,19.6,0.0075,,
1.2240,151,131.3,19.6,0.0075,,
1.2320,152,135.4,19.6,0.0075,,
1.2405,153,139.0,19.6,0.0085,,
1.2480,154,143.1,19.6,0.0075,,
1.2565,155,146.6,19.6,0.0085,,
1.2650,156,150.3,19.6,0.0075,,
1.2735,157,153.8,19.6,0.0075,,
1.2820,158,156.9,19.6,0.0075,,
1.2905,159,159.8,19.6,0.0085,,
1.2980,160,162.4,19.6,0.0075,,
1.3065,161,165.1,19.6,0.0085,,
1.3145,162,167.6,19.6,0.0075,,
1.3230,163,170.1,19.6,0.0075,,
1.3315,164,172.4,19.6,0.0075,,
1.3400,165,174.4,19.6,0.0075,,
1.3475,166,176.3,19.6,0.0075,,
1.3560,167,178.2,19.6,0.0085,,
1.3645,168,180.0,19.6,0.0075,,
1.3730,169,181.7,19.6,0.0075,,
1.3810,170,183.4,19.6,0.0075,,
1.3895,171,184.9,19.6,0.0075,,
1.3925,172,185.1,19.6,0.0060,,
1.3925,412,194.9,19.6,0.0000,,
1.3930,413,195.0,19.6,0.0010,,
1.3945,414,194.9,19.6,0.0025,,
1.3970,415,195.0,19.6,0.0040,,
1.4010,416,195.3,19.6,0.0055,,
1.4070,417,195.7,19.6,0.0085,,
1.4155,418,196.4,19.6,0.0120,,
1.4230,419,197.2,19.6,0.0125,,
1.4315,420,198.2,19.6,0.0140,,
1.4400,421,199.1,19.6,0.0140,,
1.4485,422,199.9,19.6,0.0120,,
1.4565,423,200.8,19.6,0.0115,,
1.4650,424,201.6,19.6,0.0120,,
1.4725,425,202.3,19.6,0.0125,,
1.4810,426,203.1,19.6,0.0140,,
1.4895,427,203.8,19.6,0.0140,,
1.4980,428,204.7,19.6,0.0120,,
1.5065,429,205.3,19.6,0.0120,,
1.5150,430,206.0,19.6,0.0120,,
1.5225,431,206.6,19.6,0.0125,,
1.5310,432,207.3,19.6,0.0140,,
1.5390,433,208.0,19.6,0.0135,,
1.5475,434,208.6,19.6,0.0120,,
1.5560,435,209.3,19.6,0.0120,,
1.5645,436,209.9,19.6,0.0120,,
1.5720,437,210.4,19.6,0.0125,,
1.5805,438,210.9,19.6,0.0140,,
1.5890,439,211.5,19.6,0.0120,,
1.5975,440,212.1,19.6,0.0120,,
1.6055,441,212.6,19.6,0.0115,,
1.6140,442,213.2,19.6,0.0120,,
1.6215,443,213.6,19.6,0.0125,,
1.6300,444,214.2,19.6,0.0140,,
1.6385,445,214.7,19.6,0.0120,,
1.6470,446,215.2,19.6,0.0120,,
1.6555,447,215.7,19.6,0.0120,,
1.6630,448,216.1,19.6,0.0125,,
1.6715,449,216.5,19.6,0.0140,,
1.6800,450,217.1,19.6,0.0140,,
1.6885,451,217.4,19.6,0.0120,,
1.6965,452,217.9,19.6,0.0115,,
1.7050,453,218.3,19.6,0.0120,,
1.7125,454,218.7,19.6,0.0125,,
1.7210,455,219.1,19.6,0.0140,,
1.7295,456,219.6,19.6,0.0140,,
1.7380,457,220.0,19.6,0.0120,,
1.7465,458,220.4,19.6,0.0120,,
1.7550,459,220.8,19.6,0.0120,,
1.7625,460,221.1,19.6,0.0125,,
1.7710,461,221.5,19.6,0.0120,,
1.7795,462,221.9,19.6,0.0120,,
1.7875,463,222.3,19.6,0.0115,,
1.7960,464,222.6,19.6,0.0120,,
1.8045,465,223.0,19.6,0.0140,,
1.8120,466,223.4,19.6,0.0125,,
1.8205,467,223.7,19.6,0.0140,,
1.8290,468,224.1,19.6,0.0120,,
1.8375,469,224.4,19.6,0.0120,,
1.8460,470,224.8,19.6,0.0120,,
1.8545,471,225.0,19.6,0.0140,,
1.8620,472,225.3,19.6,0.0125,,
1.8705,473,225.7,19.6,0.0140,,
1.8785,474,226.0,19.6,0.0115,,
1.8870,475,226.4,19.6,0.0120,,
1.8955,476,226.6,19.6,0.0120,,
1.9040,477,227.0,19.6,0.0140,,
1.9115,478,227.2,19.6,0.0125,,
1.9200,479,227.5,19.6,0.0140,,
1.9285,480,227.9,19.6,0.0120,,
1.9370,481,228.2,19.6,0.0120,,
1.9450,482,228.4,19.6,0.0115,,
1.9530,483,228.7,19.6,0.0135,,
1.9610,484,229.0,19.6,0.0135,,
1.9695,485,229.3,19.6,0.0140,,
1.9780,486,229.5,19.6,0.0120,,
1.9865,487,229.7,19.6,0.0120,,
1.9950,488,230.1,19.6,0.0120,,
2.0025,489,230.3,19.6,0.0125,,
2.0110,490,230.6,19.6,0.0140,,
2.0195,491,230.9,19.6,0.0140,,
2.0275,492,231.1,19.6,0.0115,,
2.0360,493,231.4,19.6,0.0120,,
2.0445,494,231.6,19.6,0.0120,,
2.0520,495,231.8,19.6,0.0125,,
2.0605,496,232.0,19.6,0.0140,,
2.0690,497,232.3,19.6,0.0140,,
2.0775,498,232.5,19.6,0.0120,,
2.0860,499,232.8,19.6,0.0120,,
2.0945,500,233.1,19.6,0.0120,,
2.1020,501,233.3,19.6,0.0125,,
2.1105,502,233.6,19.6,0.0140,,
2.1185,503,233.8,19.6,0.0115,,
2.1270,504,234.0,19.6,0.0120,,
2.1355,505,234.3,19.6,0.0120,,
2.1415,506,234.4,19.6,0.0085,,
2.1415,507,234.6,19.6,0.0000,,
2.1440,508,234.7,19.6,0.0040,,
2.1445,509,234.7,19.6,0.0010,,
2.1460,510,234.7,19.6,0.0020,,
2.1480,511,234.8,19.6,0.0030,,
2.1510,512,234.9,19.6,0.0050,,
2.1550,513,234.9,19.6,0.0065,,
2.1600,514,235.0,19.6,0.0070,,
Scope 1/1, Sample 2/3 (20190730_CRM1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-40.8,19.7,NaN,,
0.0005,1,-41.6,19.7,0.0005,,
0.0025,2,-41.8,19.7,0.0020,,
0.0050,3,-41.9,19.7,0.0025,,
0.0090,4,-42.0,19.7,0.0035,,
0.0150,5,-42.0,19.7,0.0055,,
0.0235,6,-41.7,19.7,0.0075,,
0.0310,7,-41.3,19.7,0.0075,,
0.0395,8,-40.8,19.7,0.0085,,
0.0480,9,-40.0,19.7,0.0075,,
0.0565,10,-39.3,19.7,0.0075,,
0.0650,11,-38.4,19.7,0.0075,,
0.0735,12,-37.4,19.7,0.0075,,
0.0810,13,-36.4,19.7,0.0075,,
0.0895,14,-35.3,19.7,0.0085,,
0.0975,15,-34.0,19.7,0.0075,,
0.1060,16,-32.7,19.7,0.0075,,
0.1145,17,-31.3,19.7,0.0075,,
0.1230,18,-29.8,19.7,0.0085,,
0.1305,19,-28.1,19.7,0.0075,,
0.1390,20,-26.3,19.7,0.0085,,
0.1475,21,-24.4,19.7,0.0075,,
0.1560,22,-22.5,19.7,0.0075,,
0.1645,23,-20.3,19.7,0.0075,,
0.1725,24,-18.4,19.7,0.0080,,
0.1805,25,-16.3,19.7,0.0080,,
0.1885,26,-14.3,19.7,0.0080,,
0.1970,27,-12.4,19.7,0.0075,,
0.2055,28,-10.6,19.7,0.0075,,
0.2140,29,-9.0,19.7,0.0075,,
0.2225,30,-7.5,19.7,0.0085,,
0.2300,31,-6.0,19.7,0.0075,,
0.2385,32,-4.6,19.7,0.0085,,
0.2470,33,-3.2,19.7,0.0075,,
0.2550,34,-1.8,19.7,0.0075,,
0.2635,35,-0.2,19.7,0.0075,,
0.2720,36,0.1,19.7,0.0075,,
0.2795,37,1.0,19.7,0.0075,,
0.2880,38,2.0,19.7,0.0085,,
0.2965,39,2.9,19.7,0.0075,,
0.3050,40,3.8,19.7,0.0075,,
0.3135,41,4.7,19.7,0.0075,,
0.3215,42,5.5,19.7,0.0080,,
0.3295,43,6.3,19.7,0.0080,,
0.3375,44,7.1,19.7,0.0080,,
0.3460,45,8.0,19.7,0.0075,,
0.3545,46,8.9,19.7,0.0075,,
0.3630,47,9.9,19.7,0.0075,,
0.3705,48,10.7,19.7,0.0075,,
0.3790,49,11.5,19.7,0.0085,,
0.3875,50,12.4,19.7,0.0085,,
0.3960,51,13.2,19.7,0.0075,,
0.4045,52,14.0,19.7,0.0075,,
0.4125,53,14.8,19.7,0.0075,,
0.4205,54,15.5,19.7,0.0080,,
0.4285,55,16.3,19.7,0.0080,,
0.4370,56,17.0,19.7,0.0085,,
0.4455,57,17.8,19.7,0.0075,,
0.4540,58,18.5,19.7,0.0075,,
0.4625,59,19.3,19.7,0.0075,,
0.4700,60,19.9,19.7,0.0075,,
0.4785,61,20.8,19.7,0.0085,,
0.4870,62,21.5,19.7,0.0085,,
0.4955,63,22.2,19.7,0.0075,,
0.5035,64,22.9,19.7,0.0075,,
0.5120,65,23.5,19.7,0.0085,,
0.5195,66,24.3,19.7,0.0075,,
0.5280,67,25.0,19.7,0.0085,,
0.5365,68,25.8,19.7,0.0075,,
0.5450,69,26.5,19.7,0.0075,,
0.5535,70,27.2,19.7,0.0075,,
0.5620,71,27.9,19.7,0.0075,,
0.5695,72,28.6,19.7,0.0075,,
0.5780,73,29.3,19.7,0.0085,,
0.5860,74,30.1,19.7,0.0075,,
0.5945,75,30.8,19.7,0.0075,,
0.6030,76,31.5,19.7,0.0075,,
0.6115,77,32.3,19.7,0.0075,,
0.6190,78,32.9,19.7,0.0075,,
0.6275,79,33.6,19.7,0.0085,,
0.6360,80,34.4,19.7,0.0075,,
0.6445,81,35.1,19.7,0.0075,,
0.6525,82,35.9,19.7,0.0075,,
0.6610,83,36.6,19.7,0.0085,,
0.6685,84,37.3,19.7,0.0075,,
0.6770,85,38.1,19.7,0.0085,,
0.6855,86,38.9,19.7,0.0075,,
0.6940,87,39.7,19.7,0.0075,,
0.7025,88,40.4,19.7,0.0075,,
0.7110,89,41.2,19.7,0.0075,,
0.7185,90,41.9,19.7,0.0075,,
0.7270,91,42.7,19.7,0.0085,,
0.7350,92,43.4,19.7,0.0075,,
0.7435,93,44.2,19.7,0.0075,,
0.7520,94,44.9,19.7,0.0075,,
0.7605,95,45.6,19.7,0.0085,,
0.7680,96,46.4,19.7,0.0075,,
0.7765,97,47.2,19.7,0.0085,,
0.7850,98,48.0,19.7,0.0075,,
0.7935,99,48.7,19.7,0.0075,,
0.8015,100,49.6,19.7,0.0075,,
0.8100,101,50.3,19.7,0.0085,,
0.8175,102,51.1,19.7,0.0075,,
0.8260,103,51.9,19.7,0.0085,,
0.8345,104,52.8,19.7,0.0075,,
0.8430,105,53.6,19.7,0.0075,,
0.8515,106,54.5,19.7,0.0075,,
0.8600,107,55.3,19.7,0.0085,,
