Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1776
Scope 1/1, Sample 1/9 (20190805_36)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-22.5,19.6,NaN,,
0.0010,1,-23.4,19.6,0.0010,,
0.0025,2,-23.6,19.6,0.0015,,
0.0050,3,-23.7,19.6,0.0025,,
0.0085,4,-23.8,19.6,0.0030,,
0.0150,5,-23.7,19.6,0.0060,,
0.0230,6,-23.3,19.6,0.0075,,
0.0315,7,-22.7,19.6,0.0075,,
0.0400,8,-21.8,19.6,0.0085,,
0.0475,9,-20.7,19.6,0.0070,,
0.0560,10,-19.3,19.6,0.0075,,
0.0645,11,-17.7,19.6,0.0075,,
0.0730,12,-15.9,19.6,0.0075,,
0.0810,13,-14.1,19.6,0.0075,,
0.0890,14,-12.4,19.6,0.0080,,
0.0975,15,-10.5,19.6,0.0075,,
0.1055,16,-8.7,19.6,0.0075,,
0.1140,17,-6.6,19.6,0.0075,,
0.1225,18,-4.9,19.6,0.0075,,
0.1310,19,-3.1,19.6,0.0075,,
0.1395,20,-1.4,19.6,0.0085,,
0.1470,21,0.0,19.6,0.0070,,
0.1555,22,0.7,19.6,0.0075,,
0.1635,23,1.9,19.6,0.0075,,
0.1720,24,2.9,19.6,0.0075,,
0.1805,25,4.0,19.6,0.0075,,
0.1880,26,5.0,19.6,0.0075,,
0.1965,27,5.8,19.6,0.0075,,
0.2050,28,6.7,19.6,0.0075,,
0.2135,29,7.5,19.6,0.0075,,
0.2220,30,8.4,19.6,0.0075,,
0.2305,31,9.5,19.6,0.0075,,
0.2380,32,10.2,19.6,0.0075,,
0.2465,33,11.1,19.6,0.0075,,
0.2545,34,12.0,19.6,0.0075,,
0.2630,35,12.9,19.6,0.0075,,
0.2715,36,13.7,19.6,0.0075,,
0.2800,37,14.3,19.6,0.0085,,
0.2875,38,15.0,19.6,0.0070,,
0.2960,39,15.8,19.6,0.0075,,
0.3045,40,16.5,19.6,0.0075,,
0.3130,41,17.3,19.6,0.0075,,
0.3215,42,17.9,19.6,0.0075,,
0.3295,43,18.6,19.6,0.0075,,
0.3375,44,19.3,19.6,0.0075,,
0.3455,45,20.0,19.6,0.0075,,
0.3540,46,20.6,19.6,0.0075,,
0.3625,47,21.4,19.6,0.0075,,
0.3710,48,22.1,19.6,0.0075,,
0.3785,49,22.8,19.6,0.0075,,
0.3870,50,23.4,19.6,0.0075,,
0.3955,51,24.1,19.6,0.0075,,
0.4040,52,24.8,19.6,0.0075,,
0.4125,53,25.5,19.6,0.0070,,
0.4205,54,26.3,19.6,0.0075,,
0.4285,55,26.9,19.6,0.0080,,
0.4365,56,27.5,19.6,0.0075,,
0.4450,57,28.2,19.6,0.0075,,
0.4535,58,28.9,19.6,0.0075,,
0.4620,59,29.6,19.6,0.0075,,
0.4705,60,30.2,19.6,0.0075,,
0.4780,61,30.8,19.6,0.0075,,
0.4865,62,31.5,19.6,0.0075,,
0.4950,63,32.2,19.6,0.0075,,
0.5030,64,33.0,19.6,0.0075,,
0.5115,65,33.7,19.6,0.0075,,
0.5200,66,34.4,19.6,0.0075,,
0.5275,67,35.0,19.6,0.0075,,
0.5360,68,35.8,19.6,0.0075,,
0.5445,69,36.4,19.6,0.0075,,
0.5530,70,37.2,19.6,0.0075,,
0.5615,71,37.9,19.6,0.0075,,
0.5700,72,38.5,19.6,0.0085,,
0.5775,73,39.2,19.6,0.0070,,
0.5860,74,39.9,19.6,0.0075,,
0.5940,75,40.7,19.6,0.0075,,
0.6025,76,41.4,19.6,0.0075,,
0.6110,77,42.1,19.7,0.0075,,
0.6195,78,42.7,19.7,0.0085,,
0.6270,79,43.4,19.7,0.0070,,
0.6355,80,44.2,19.7,0.0075,,
0.6440,81,45.0,19.7,0.0075,,
0.6525,82,45.7,19.7,0.0075,,
0.6610,83,46.5,19.7,0.0075,,
0.6685,84,47.1,19.7,0.0075,,
0.6770,85,47.8,19.7,0.0075,,
0.6850,86,48.5,19.7,0.0075,,
0.6935,87,49.3,19.7,0.0075,,
0.7020,88,50.0,19.7,0.0075,,
0.7105,89,50.8,19.7,0.0075,,
0.7180,90,51.4,19.7,0.0075,,
0.7265,91,52.2,19.7,0.0075,,
0.7350,92,53.0,19.7,0.0075,,
0.7435,93,53.9,19.7,0.0075,,
