Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1803
Scope 1/1, Sample 1/9 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-15.1,19.5,NaN,,
0.0010,1,-15.9,19.5,0.0010,,
0.0025,2,-16.1,19.5,0.0015,,
0.0050,3,-16.2,19.5,0.0025,,
0.0090,4,-16.2,19.5,0.0035,,
0.0150,5,-16.0,19.5,0.0055,,
0.0235,6,-15.5,19.5,0.0075,,
0.0320,7,-14.7,19.5,0.0075,,
0.0405,8,-13.5,19.5,0.0075,,
0.0480,9,-12.2,19.5,0.0075,,
0.0565,10,-10.7,19.5,0.0075,,
0.0650,11,-9.0,19.5,0.0075,,
0.0730,12,-7.1,19.5,0.0075,,
0.0815,13,-5.2,19.5,0.0075,,
0.0900,14,-3.3,19.5,0.0075,,
0.0975,15,-1.4,19.5,0.0070,,
0.1060,16,0.0,19.5,0.0075,,
0.1145,17,1.2,19.5,0.0075,,
0.1230,18,2.4,19.5,0.0075,,
0.1315,19,3.6,19.5,0.0075,,
0.1400,20,4.5,19.5,0.0085,,
0.1475,21,5.6,19.5,0.0070,,
0.1560,22,6.6,19.5,0.0075,,
0.1645,23,7.5,19.5,0.0075,,
0.1725,24,8.5,19.5,0.0075,,
0.1810,25,9.5,19.5,0.0075,,
0.1895,26,10.3,19.5,0.0085,,
0.1970,27,11.3,19.5,0.0070,,
0.2055,28,12.2,19.5,0.0075,,
0.2140,29,13.1,19.5,0.0075,,
0.2225,30,13.9,19.5,0.0075,,
0.2310,31,14.7,19.5,0.0075,,
0.2385,32,15.4,19.5,0.0075,,
0.2470,33,16.2,19.6,0.0075,,
0.2550,34,16.9,19.5,0.0075,,
0.2635,35,17.7,19.6,0.0075,,
0.2720,36,18.4,19.6,0.0075,,
0.2805,37,19.2,19.6,0.0070,,
0.2880,38,19.9,19.6,0.0075,,
0.2965,39,20.6,19.6,0.0075,,
0.3050,40,21.3,19.6,0.0075,,
0.3135,41,22.0,19.6,0.0075,,
0.3215,42,22.7,19.6,0.0075,,
0.3300,43,23.4,19.6,0.0075,,
0.3375,44,24.1,19.6,0.0075,,
0.3460,45,24.7,19.6,0.0075,,
0.3545,46,25.4,19.6,0.0075,,
0.3630,47,26.0,19.6,0.0075,,
0.3715,48,26.7,19.6,0.0075,,
0.3800,49,27.4,19.6,0.0075,,
0.3875,50,28.1,19.6,0.0075,,
0.3960,51,28.7,19.6,0.0075,,
0.4040,52,29.3,19.6,0.0075,,
0.4125,53,30.1,19.6,0.0075,,
0.4210,54,30.8,19.6,0.0075,,
0.4295,55,31.4,19.6,0.0075,,
0.4370,56,32.0,19.6,0.0075,,
0.4455,57,32.7,19.6,0.0075,,
0.4540,58,33.4,19.6,0.0075,,
0.4625,59,34.0,19.6,0.0075,,
0.4705,60,34.7,19.6,0.0075,,
0.4790,61,35.4,19.6,0.0075,,
0.4875,62,36.0,19.6,0.0085,,
0.4950,63,36.6,19.6,0.0070,,
0.5035,64,37.3,19.6,0.0075,,
0.5120,65,38.0,19.6,0.0075,,
0.5205,66,38.7,19.6,0.0075,,
0.5290,67,39.3,19.6,0.0075,,
0.5365,68,39.9,19.6,0.0075,,
0.5450,69,40.6,19.6,0.0075,,
0.5535,70,41.4,19.6,0.0075,,
0.5615,71,42.2,19.6,0.0075,,
0.5700,72,42.8,19.6,0.0075,,
0.5785,73,43.4,19.6,0.0075,,
0.5860,74,44.2,19.6,0.0070,,
0.5945,75,44.9,19.6,0.0075,,
0.6030,76,45.7,19.6,0.0075,,
0.6115,77,46.4,19.6,0.0075,,
0.6200,78,47.1,19.6,0.0075,,
0.6285,79,47.7,19.6,0.0085,,
0.6360,80,48.4,19.6,0.0070,,
0.6445,81,49.1,19.6,0.0075,,
0.6525,82,49.7,19.6,0.0075,,
0.6610,83,50.5,19.6,0.0075,,
0.6695,84,51.3,19.6,0.0075,,
0.6780,85,51.9,19.6,0.0085,,
0.6855,86,52.7,19.6,0.0070,,
0.6940,87,53.3,19.6,0.0075,,
0.7025,88,54.1,19.6,0.0075,,
0.7110,89,54.9,19.6,0.0075,,
0.7190,90,55.7,19.6,0.0075,,
0.7270,91,56.5,19.6,0.0080,,
0.7355,92,57.2,19.6,0.0075,,
0.7435,93,58.0,19.6,0.0075,,
0.7520,94,58.8,19.6,0.0075,,
0.7605,95,59.6,19.6,0.0075,,
0.7690,96,60.3,19.6,0.0075,,
0.7765,97,61.1,19.6,0.0070,,
0.7850,98,61.9,19.6,0.0075,,
0.7935,99,62.7,19.6,0.0075,,
0.8020,100,63.5,19.6,0.0075,,
0.8105,101,64.3,19.6,0.0075,,
0.8185,102,64.9,19.6,0.0080,,
0.8265,103,65.8,19.6,0.0075,,
0.8345,104,66.6,19.6,0.0075,,
0.8430,105,67.5,19.6,0.0075,,
0.8515,106,68.6,19.6,0.0075,,
0.8600,107,69.6,19.6,0.0075,,
0.8685,108,70.4,19.6,0.0085,,
0.8760,109,71.3,19.6,0.0070,,
0.8845,110,72.3,19.6,0.0075,,
0.8930,111,73.2,19.6,0.0075,,
0.9010,112,74.1,19.6,0.0075,,
0.9095,113,75.0,19.6,0.0075,,
0.9180,114,75.9,19.6,0.0085,,
0.9255,115,77.0,19.6,0.0070,,
0.9340,116,78.0,19.6,0.0075,,
0.9425,117,79.0,19.6,0.0075,,
0.9510,118,80.0,19.6,0.0075,,
0.9595,119,81.2,19.6,0.0075,,
0.9675,120,82.4,19.6,0.0075,,
0.9755,121,83.4,19.6,0.0075,,
0.9835,122,84.6,19.6,0.0075,,
0.9920,123,86.0,19.6,0.0075,,
1.0005,124,87.3,19.6,0.0075,,
1.0090,125,88.4,19.7,0.0075,,
1.0175,126,89.8,19.7,0.0075,,
1.0250,127,91.1,19.7,0.0075,,
1.0335,128,92.8,19.7,0.0075,,
1.0420,129,94.3,19.7,0.0075,,
1.0500,130,96.0,19.7,0.0075,,
1.0585,131,97.3,19.7,0.0075,,
1.0670,132,98.8,19.7,0.0075,,
1.0745,133,100.4,19.7,0.0070,,
1.0830,134,102.2,19.7,0.0075,,
1.0915,135,104.1,19.7,0.0075,,
