Method Data,,,,,,
Method name,Panopea,,,,,
Method ID,7,,,,,
Method version,6,,,,,
Method Internal ID,M44,,,,,
Release State,Released,,,,,
Type,TitrationGeneral,,,,,
,,,,,,
Table of Measured Values,,,,,,
Task,T1825,,,,,
Scope 1/1, Sample 1/3 (20190811_JUNK),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-43.6,19.3,NaN,,
0.0005,1,-44.4,19.3,0.0005,,
0.0025,2,-44.6,19.3,0.002,,
0.005,3,-44.6,19.3,0.0025,,
0.009,4,-44.7,19.3,0.0035,,
0.015,5,-44.6,19.3,0.0055,,
0.0235,6,-44.3,19.3,0.0075,,
0.031,7,-43.8,19.3,0.0075,,
0.0395,8,-43,19.3,0.0085,,
0.048,9,-42.1,19.3,0.0075,,
0.0565,10,-41.1,19.3,0.0075,,
0.065,11,-39.8,19.3,0.0075,,
0.0735,12,-38.6,19.3,0.0075,,
0.081,13,-37.2,19.3,0.0075,,
0.0895,14,-35.7,19.3,0.0085,,
0.098,15,-34.1,19.3,0.0075,,
0.106,16,-32.3,19.3,0.0075,,
0.1145,17,-30.3,19.3,0.0075,,
0.123,18,-28.4,19.3,0.0085,,
0.1305,19,-26.3,19.3,0.0075,,
0.139,20,-24.1,19.3,0.0085,,
0.1475,21,-21.9,19.3,0.0075,,
0.156,22,-19.8,19.3,0.0075,,
0.1645,23,-17.8,19.3,0.0075,,
0.172,24,-16.2,19.3,0.0075,,
0.1805,25,-14.5,19.3,0.0085,,
0.189,26,-13,19.3,0.0075,,
0.197,27,-11.7,19.3,0.0075,,
0.2055,28,-10.6,19.3,0.0075,,
0.214,29,-9.5,19.3,0.0075,,
0.2215,30,-8.5,19.3,0.0075,,
0.23,31,-7.4,19.3,0.0085,,
0.2385,32,-6.4,19.3,0.0075,,
0.247,33,-5.5,19.3,0.0075,,
0.2555,34,-4.4,19.3,0.0075,,
0.2635,35,-3.5,19.3,0.0075,,
0.2715,36,-2.6,19.3,0.008,,
0.2795,37,-1.4,19.3,0.008,,
0.288,38,-0.2,19.3,0.0075,,
0.2965,39,0,19.3,0.0075,,
0.305,40,0.7,19.3,0.0075,,
0.3135,41,1.4,19.3,0.0075,,
0.321,42,2.1,19.3,0.0075,,
0.3295,43,2.9,19.3,0.0085,,
0.338,44,3.6,19.3,0.0075,,
0.346,45,4.3,19.3,0.0075,,
0.3545,46,5,19.3,0.0075,,
0.363,47,5.8,19.3,0.0075,,
0.3705,48,6.4,19.3,0.0075,,
0.379,49,7.1,19.3,0.0085,,
0.3875,50,7.7,19.3,0.0085,,
0.396,51,8.5,19.3,0.0075,,
0.4045,52,9.3,19.3,0.0075,,
0.4125,53,10.1,19.3,0.0075,,
0.4205,54,10.7,19.3,0.008,,
0.4285,55,11.5,19.3,0.008,,
0.437,56,12.2,19.3,0.0085,,
0.4455,57,13,19.3,0.0075,,
0.454,58,13.7,19.3,0.0075,,
0.4625,59,14.5,19.3,0.0075,,
0.47,60,15.2,19.3,0.0075,,
0.4785,61,16,19.3,0.0085,,
0.487,62,16.6,19.3,0.0075,,
0.495,63,17.3,19.3,0.0075,,
0.5035,64,18,19.3,0.0075,,
0.512,65,18.7,19.3,0.0075,,
0.5195,66,19.3,19.3,0.0075,,
0.528,67,20,19.3,0.0085,,
0.5365,68,20.8,19.3,0.0085,,
0.545,69,21.5,19.3,0.0075,,
0.5535,70,22.2,19.3,0.0075,,
0.5615,71,22.9,19.3,0.0075,,
0.5695,72,23.6,19.3,0.008,,
0.5775,73,24.4,19.3,0.008,,
0.586,74,25.1,19.3,0.0085,,
0.5945,75,25.8,19.3,0.0075,,
0.603,76,26.5,19.3,0.0075,,
0.6115,77,27.2,19.3,0.0075,,
0.619,78,27.9,19.3,0.0075,,
0.6275,79,28.6,19.3,0.0085,,
0.636,80,29.4,19.3,0.0075,,
0.644,81,30.1,19.3,0.0075,,
0.6525,82,30.9,19.3,0.0075,,
0.661,83,31.6,19.3,0.0075,,
0.6685,84,32.3,19.3,0.0075,,
0.677,85,33,19.3,0.0085,,
0.6855,86,33.8,19.3,0.0075,,
0.694,87,34.5,19.3,0.0075,,
0.7025,88,35.2,19.3,0.0075,,
0.711,89,35.9,19.3,0.0075,,
0.7185,90,36.7,19.3,0.0075,,
0.727,91,37.5,19.3,0.0085,,
0.735,92,38.3,19.3,0.0075,,
0.7435,93,39.2,19.3,0.0075,,
0.752,94,40,19.3,0.0075,,
0.7605,95,40.7,19.3,0.0085,,
0.768,96,41.5,19.3,0.0075,,
0.7765,97,42.3,19.3,0.0085,,
0.785,98,43.1,19.3,0.0075,,
0.7935,99,44,19.3,0.0075,,
0.8015,100,44.8,19.3,0.0075,,
0.81,101,45.6,19.3,0.0075,,
0.8175,102,46.5,19.3,0.0075,,
0.826,103,47.2,19.3,0.0085,,
0.8345,104,48,19.3,0.0075,,
0.843,105,48.9,19.3,0.0075,,
0.8515,106,49.7,19.3,0.0075,,
0.86,107,50.5,19.3,0.0075,,
0.8675,108,51.3,19.3,0.0075,,
0.876,109,52.2,19.3,0.0085,,
0.884,110,53.1,19.3,0.0075,,
0.8925,111,53.9,19.3,0.0075,,
0.901,112,54.8,19.3,0.0075,,
0.9095,113,55.7,19.3,0.0075,,
0.917,114,56.6,19.3,0.0075,,
0.9255,115,57.6,19.3,0.0085,,
0.934,116,58.6,19.3,0.0075,,
0.9425,117,59.6,19.3,0.0075,,
0.9505,118,60.6,19.3,0.0075,,
0.959,119,61.6,19.3,0.0075,,
0.9665,120,62.6,19.3,0.0075,,
0.975,121,63.7,19.3,0.0085,,
0.9835,122,64.8,19.3,0.0075,,
0.992,123,65.9,19.3,0.0075,,
1.0005,124,67,19.3,0.0075,,
1.009,125,68.1,19.3,0.0075,,
1.0165,126,69,19.3,0.0075,,
1.025,127,70.1,19.3,0.0085,,
1.033,128,71.3,19.3,0.0075,,
1.0415,129,72.6,19.3,0.0075,,
1.05,130,73.8,19.3,0.0075,,
1.0585,131,75,19.3,0.0075,,
1.066,132,76.3,19.3,0.0075,,
1.0745,133,77.6,19.3,0.0085,,
1.083,134,79.1,19.3,0.0075,,
1.0915,135,80.6,19.3,0.0075,,
1.0995,136,82.1,19.3,0.0075,,
1.108,137,83.8,19.3,0.0075,,
1.1155,138,85.3,19.3,0.0075,,
1.124,139,86.9,19.3,0.0085,,
1.1325,140,88.7,19.3,0.0075,,
1.141,141,90.4,19.3,0.0075,,
1.1495,142,92.5,19.3,0.0075,,
1.158,143,94.4,19.3,0.0085,,
1.1655,144,96.8,19.3,0.0075,,
1.174,145,99,19.3,0.0075,,
1.1825,146,101.5,19.3,0.0075,,
1.1905,147,104.1,19.3,0.0075,,
1.199,148,107,19.3,0.0075,,
1.2075,149,109.8,19.3,0.0085,,
1.215,150,112.8,19.3,0.0075,,
1.2235,151,116.3,19.3,0.0085,,
1.232,152,120.2,19.3,0.0075,,
1.2405,153,124.3,19.3,0.0075,,
1.249,154,128,19.3,0.0075,,
1.2565,155,131.6,19.3,0.0075,,
1.265,156,135.8,19.3,0.0085,,
1.273,157,139.7,19.3,0.008,,
1.2815,158,143.6,19.3,0.0075,,
1.29,159,147.3,19.3,0.0075,,
1.2985,160,150.7,19.3,0.0075,,
1.307,161,153.6,19.3,0.0085,,
1.3145,162,157,19.3,0.0075,,
1.323,163,159.9,19.3,0.0085,,
1.3315,164,162.8,19.3,0.0075,,
1.3395,165,165.5,19.3,0.0075,,
1.348,166,168,19.3,0.0075,,
1.3565,167,170.3,19.3,0.0085,,
1.364,168,172.5,19.3,0.0075,,
1.3725,169,174.7,19.3,0.0085,,
1.381,170,176.6,19.3,0.0075,,
1.3895,171,178.5,19.3,0.0075,,
1.398,172,180.3,19.3,0.0075,,
1.406,173,181.9,19.3,0.008,,
1.414,174,183.5,19.3,0.008,,
1.424,175,185,19.3,0.0075,,
1.424,415,194.7,19.4,0,,
1.4245,416,194.7,19.4,0.0005,,
1.426,417,194.6,19.4,0.001,,
1.4285,418,194.7,19.4,0.002,,
1.4325,419,195,19.4,0.003,,
1.439,420,195.3,19.4,0.0045,,
1.4475,421,196,19.4,0.006,,
1.455,422,196.8,19.4,0.006,,
1.4635,423,197.7,19.4,0.0065,,
1.472,424,198.6,19.4,0.0065,,
1.48,425,199.5,19.4,0.0055,,
1.4885,426,200.3,19.4,0.006,,
1.497,427,201.1,19.4,0.006,,
1.5045,428,201.9,19.4,0.006,,
1.513,429,202.7,19.4,0.0065,,
1.5215,430,203.5,19.4,0.0065,,
1.53,431,204.2,19.4,0.006,,
1.5385,432,204.9,19.4,0.006,,
1.5465,433,205.6,19.4,0.0055,,
1.5545,434,206.3,19.4,0.006,,
1.5625,435,207,19.4,0.006,,
1.571,436,207.6,19.4,0.0065,,
1.5795,437,208.3,19.4,0.006,,
1.588,438,208.9,19.4,0.006,,
1.5965,439,209.6,19.4,0.006,,
1.604,440,210,19.4,0.006,,
1.6125,441,210.6,19.4,0.0065,,
1.621,442,211.2,19.4,0.0065,,
1.629,443,211.8,19.4,0.0055,,
1.6375,444,212.3,19.4,0.006,,
1.646,445,212.8,19.4,0.006,,
1.6545,446,213.3,19.4,0.0065,,
1.662,447,213.9,19.4,0.006,,
1.6705,448,214.4,19.4,0.0065,,
1.679,449,214.8,19.4,0.006,,
1.6875,450,215.3,19.4,0.006,,
1.6955,451,215.8,19.4,0.0055,,
1.7035,452,216.2,19.4,0.006,,
1.7115,453,216.7,19.4,0.006,,
1.72,454,217.1,19.4,0.0065,,
1.7285,455,217.5,19.4,0.006,,
1.737,456,218,19.4,0.006,,
1.7455,457,218.5,19.4,0.006,,
1.753,458,218.8,19.4,0.006,,
1.7615,459,219.3,19.4,0.0065,,
1.77,460,219.7,19.4,0.0065,,
1.7785,461,220.1,19.4,0.006,,
1.7865,462,220.5,19.4,0.0055,,
1.795,463,220.9,19.4,0.0065,,
1.8025,464,221.3,19.4,0.006,,
1.811,465,221.7,19.4,0.0065,,
1.8195,466,222,19.4,0.006,,
1.828,467,222.4,19.4,0.006,,
1.8365,468,222.7,19.4,0.006,,
1.845,469,223.1,19.4,0.006,,
1.8525,470,223.3,19.4,0.006,,
1.861,471,223.8,19.4,0.0065,,
1.869,472,224.1,19.4,0.006,,
1.8775,473,224.5,19.4,0.006,,
1.886,474,224.8,19.4,0.006,,
1.8945,475,225.1,19.4,0.006,,
1.902,476,225.4,19.4,0.006,,
1.9105,477,225.7,19.4,0.0065,,
1.919,478,226,19.4,0.006,,
1.9275,479,226.4,19.4,0.006,,
1.9355,480,226.7,19.4,0.0055,,
1.944,481,227,19.4,0.0065,,
1.952,482,227.3,19.4,0.006,,
1.96,483,227.7,19.4,0.006,,
1.9685,484,227.9,19.4,0.006,,
1.977,485,228.2,19.4,0.006,,
1.9855,486,228.5,19.4,0.006,,
1.993,487,228.8,19.4,0.006,,
2.0015,488,229,19.4,0.0065,,
2.01,489,229.3,19.4,0.0065,,
2.0185,490,229.6,19.4,0.006,,
2.0265,491,229.9,19.4,0.0055,,
2.035,492,230.2,19.4,0.006,,
2.0435,493,230.4,19.4,0.0065,,
2.051,494,230.6,19.4,0.006,,
2.0595,495,230.9,19.4,0.0065,,
2.068,496,231.2,19.4,0.006,,
2.0765,497,231.4,19.4,0.006,,
2.085,498,231.7,19.4,0.006,,
2.0925,499,231.9,19.4,0.006,,
2.101,500,232.2,19.4,0.0065,,
2.109,501,232.4,19.4,0.006,,
2.1175,502,232.7,19.4,0.006,,
2.126,503,232.9,19.4,0.006,,
2.1345,504,233.1,19.4,0.006,,
2.142,505,233.3,19.4,0.006,,
2.1505,506,233.6,19.4,0.0065,,
2.159,507,233.8,19.4,0.0065,,
2.1675,508,234,19.4,0.006,,
2.1745,509,234.3,19.4,0.005,,
2.181,510,234.5,19.4,0.0045,,
2.1825,511,234.6,19.4,0.001,,
2.1825,512,234.7,19.4,0,,
2.1835,513,234.7,19.4,0.001,,
2.185,514,234.7,19.4,0.001,,
2.1875,515,234.8,19.4,0.002,,
2.19,516,234.8,19.4,0.002,,
2.1935,517,234.9,19.4,0.0025,,
2.2,518,235,19.4,0.0045,,
Scope 1/1, Sample 2/3 (20190811_CRM1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-36.8,19.4,NaN,,
0.001,1,-37.7,19.4,0.001,,
0.0025,2,-37.9,19.4,0.0015,,
0.005,3,-38.1,19.4,0.0025,,
0.009,4,-38.2,19.4,0.0035,,
0.015,5,-38.2,19.4,0.0055,,
0.0235,6,-38,19.4,0.0075,,
0.032,7,-37.6,19.4,0.0085,,
0.0395,8,-37,19.4,0.0075,,
0.048,9,-36.3,19.4,0.0075,,
0.0565,10,-35.5,19.4,0.0075,,
0.065,11,-34.6,19.4,0.0075,,
0.0735,12,-33.5,19.4,0.0075,,
0.081,13,-32.6,19.4,0.0075,,
0.0895,14,-31.4,19.4,0.0085,,
