Method Data,,,,,,
Method name,Panopea,,,,,
Method ID,7,,,,,
Method version,6,,,,,
Method Internal ID,M44,,,,,
Release State,Released,,,,,
Type,TitrationGeneral,,,,,
,,,,,,
Table of Measured Values,,,,,,
Task,T1843,,,,,
Scope 1/1, Sample 1/9 (20190812_35),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,
0,0,0,19.5,NaN,,
0.001,1,-0.2,19.5,0.001,,
0.0025,2,-0.3,19.5,0.0015,,
0.005,3,-0.4,19.5,0.0025,,
0.0095,4,-0.4,19.5,0.0035,,
0.016,5,-0.1,19.5,0.0055,,
0.024,6,0,19.5,0.0075,,
0.032,7,0.7,19.5,0.0075,,
0.04,8,2.1,19.5,0.0075,,
0.0485,9,3.5,19.5,0.007,,
0.057,10,5,19.5,0.007,,
0.0655,11,6.2,19.5,0.007,,
0.073,12,7.3,19.5,0.007,,
0.0815,13,8.7,19.5,0.0075,,
0.09,14,9.9,19.5,0.0075,,
0.0985,15,11.1,19.5,0.007,,
0.107,16,12.1,19.5,0.007,,
0.1155,17,13.2,19.5,0.007,,
0.123,18,14,19.5,0.007,,
0.131,19,14.8,19.5,0.0075,,
0.1395,20,15.6,19.5,0.0075,,
0.148,21,16.4,19.5,0.007,,
0.1565,22,17.1,19.5,0.007,,
0.165,23,17.9,19.5,0.007,,
0.1725,24,18.5,19.5,0.007,,
0.181,25,19.3,19.5,0.0075,,
0.1895,26,20,19.5,0.0075,,
0.198,27,20.7,19.5,0.007,,
0.206,28,21.3,19.5,0.0065,,
0.2145,29,22,19.5,0.007,,
0.222,30,22.6,19.5,0.007,,
0.2305,31,23.2,19.5,0.0075,,
0.239,32,24,19.5,0.0075,,
0.2475,33,24.6,19.5,0.007,,
0.256,34,25.2,19.5,0.007,,
0.2645,35,25.9,19.5,0.0075,,
0.272,36,26.5,19.5,0.007,,
0.2805,37,27.1,19.5,0.0075,,
0.289,38,27.6,19.5,0.007,,
0.297,39,28.2,19.5,0.0065,,
0.3055,40,28.8,19.5,0.007,,
0.314,41,29.5,19.5,0.0075,,
0.3215,42,30.1,19.5,0.007,,
0.33,43,30.7,19.5,0.0075,,
0.3385,44,31.3,19.5,0.007,,
0.347,45,31.8,19.5,0.007,,
0.3555,46,32.4,19.5,0.007,,
0.363,47,33,19.5,0.007,,
0.3715,48,33.6,19.5,0.0075,,
0.38,49,34.2,19.5,0.0075,,
0.388,50,34.8,19.5,0.0065,,
0.3965,51,35.3,19.5,0.007,,
0.405,52,35.9,19.5,0.007,,
0.4125,53,36.4,19.5,0.007,,
0.421,54,36.9,19.5,0.0075,,
0.4295,55,37.5,19.5,0.0075,,
0.438,56,38.2,19.5,0.007,,
0.4465,57,39,19.5,0.007,,
0.4545,58,39.5,19.5,0.0065,,
0.4625,59,40,19.5,0.0075,,
0.4705,60,40.6,19.5,0.0075,,
0.479,61,41.3,19.5,0.0075,,
0.4875,62,41.9,19.5,0.007,,
0.496,63,42.6,19.5,0.007,,
0.5045,64,43.2,19.5,0.007,,
0.512,65,43.7,19.5,0.007,,
0.5205,66,44.4,19.5,0.0075,,
0.529,67,45,19.5,0.0075,,
0.537,68,45.6,19.5,0.0065,,
0.5455,69,46.3,19.5,0.007,,
0.554,70,46.8,19.5,0.007,,
0.5615,71,47.3,19.5,0.007,,
0.57,72,48.1,19.5,0.0075,,
0.5785,73,48.8,19.5,0.0075,,
0.587,74,49.3,19.5,0.007,,
0.5955,75,50,19.5,0.007,,
0.604,76,50.6,19.5,0.007,,
0.6115,77,51.2,19.6,0.007,,
0.62,78,51.7,19.6,0.0075,,
0.628,79,52.3,19.6,0.0075,,
0.6365,80,52.9,19.6,0.007,,
0.645,81,53.6,19.6,0.007,,
0.6535,82,54.2,19.6,0.0075,,
0.661,83,54.8,19.6,0.007,,
0.6695,84,55.5,19.6,0.0075,,
0.678,85,56.2,19.6,0.0075,,
0.6865,86,57,19.6,0.007,,
0.6945,87,57.6,19.6,0.0065,,
0.703,88,58.3,19.6,0.007,,
0.7105,89,58.8,19.6,0.007,,
0.719,90,59.5,19.6,0.0075,,
0.7275,91,60.2,19.6,0.0075,,
0.736,92,60.9,19.6,0.007,,
0.7445,93,61.6,19.6,0.007,,
0.753,94,62.3,19.6,0.0075,,
0.7605,95,63.2,19.6,0.007,,
0.769,96,64,19.6,0.0075,,
0.777,97,64.7,19.6,0.0075,,
0.7855,98,65.3,19.6,0.007,,
0.794,99,65.9,19.6,0.007,,
0.8015,100,66.6,19.6,0.007,,
0.81,101,67.3,19.6,0.0075,,
0.8185,102,68.2,19.6,0.0075,,
0.827,103,68.9,19.6,0.007,,
0.8355,104,69.8,19.6,0.007,,
0.844,105,70.5,19.6,0.007,,
0.8515,106,71.3,19.6,0.007,,
0.86,107,72.1,19.6,0.0075,,
0.8685,108,73.1,19.6,0.0075,,
0.8765,109,73.7,19.6,0.0065,,
0.885,110,74.6,19.6,0.007,,
0.8935,111,75.3,19.6,0.007,,
0.902,112,76.2,19.6,0.0075,,
0.9095,113,77.1,19.6,0.007,,
0.918,114,78,19.6,0.0075,,
0.9265,115,79.1,19.6,0.007,,
0.9345,116,79.8,19.6,0.0065,,
0.943,117,80.8,19.6,0.007,,
0.951,118,81.7,19.6,0.0075,,
0.959,119,82.7,19.6,0.0075,,
0.9675,120,83.6,19.6,0.0075,,
0.976,121,84.7,19.6,0.007,,
0.9845,122,85.7,19.6,0.007,,
0.993,123,86.7,19.6,0.007,,
1.0005,124,87.8,19.6,0.007,,
1.009,125,89,19.6,0.0075,,
1.0175,126,90.3,19.6,0.0075,,
1.0255,127,91.6,19.6,0.0065,,
1.034,128,92.9,19.6,0.007,,
1.0425,129,94.2,19.6,0.007,,
1.05,130,95.4,19.6,0.007,,
1.0585,131,96.7,19.6,0.0075,,
1.067,132,98.4,19.6,0.0075,,
1.0755,133,100,19.6,0.007,,
1.084,134,101.4,19.6,0.007,,
1.092,135,102.9,19.6,0.0065,,
1.1,136,104.1,19.6,0.0075,,
1.108,137,105.8,19.6,0.0075,,
1.1165,138,107.8,19.6,0.0075,,
1.125,139,109.9,19.6,0.007,,
1.1335,140,112.1,19.6,0.007,,
1.142,141,114.6,19.6,0.007,,
1.1495,142,116.7,19.6,0.007,,
1.158,143,119,19.6,0.0075,,
1.1665,144,121.6,19.6,0.0075,,
1.1745,145,124.3,19.6,0.0065,,
1.183,146,127.1,19.6,0.007,,
1.1915,147,130.5,19.6,0.007,,
1.2,148,133.4,19.6,0.0075,,
1.2075,149,137.1,19.6,0.007,,
1.216,150,140.7,19.6,0.0075,,
1.2245,151,144.2,19.6,0.0075,,
1.233,152,147.5,19.6,0.007,,
1.241,153,151.2,19.6,0.0065,,
1.2495,154,154.3,19.6,0.0075,,
1.257,155,157.3,19.6,0.007,,
1.2655,156,160.4,19.6,0.0075,,
1.274,157,163.2,19.6,0.007,,
1.2825,158,166.3,19.6,0.007,,
1.291,159,168.6,19.6,0.007,,
1.2985,160,170.8,19.6,0.007,,
1.307,161,173.3,19.6,0.0075,,
1.3155,162,175.5,19.6,0.0075,,
1.3235,163,177.5,19.6,0.0065,,
1.332,164,179.5,19.6,0.007,,
1.3405,165,181.3,19.6,0.007,,
1.348,166,183,19.6,0.007,,
1.3565,167,184.5,19.6,0.0075,,
1.361,168,185.1,19.6,0.0075,,
1.361,408,191.4,19.8,0,,
1.3615,409,191.4,19.8,0.0005,,
1.363,410,191.4,19.8,0.002,,
1.3655,411,191.5,19.8,0.0035,,
1.3695,412,191.9,19.8,0.005,,
1.376,413,192.5,19.8,0.008,,
1.3845,414,193.3,19.8,0.0105,,
1.392,415,194.2,19.8,0.0105,,
1.4005,416,195.2,19.8,0.012,,
1.409,417,196.3,19.8,0.012,,
1.417,418,197.2,19.8,0.01,,
1.4255,419,198.2,19.8,0.0105,,
1.434,420,199,19.8,0.0105,,
1.4415,421,199.9,19.8,0.0105,,
1.45,422,200.7,19.8,0.012,,
1.4585,423,201.6,19.8,0.0105,,
1.467,424,202.4,19.8,0.0105,,
1.4755,425,203.3,19.8,0.0105,,
1.4835,426,204,19.8,0.01,,
1.4915,427,204.6,19.8,0.0115,,
1.5,428,205.4,19.8,0.012,,
1.508,429,206.1,19.8,0.0115,,
1.5165,430,206.8,19.8,0.0105,,
1.525,431,207.5,19.8,0.0105,,
1.5335,432,208.1,19.8,0.012,,
1.541,433,208.8,19.8,0.0105,,
1.5495,434,209.3,19.8,0.012,,
1.558,435,210,19.8,0.0105,,
1.5665,436,210.6,19.8,0.0105,,
1.5745,437,211.1,19.8,0.01,,
1.583,438,211.6,19.8,0.012,,
1.5905,439,212.2,19.8,0.0105,,
1.599,440,212.7,19.8,0.012,,
1.6075,441,213.2,19.8,0.0105,,
1.616,442,213.8,19.8,0.0105,,
1.6245,443,214.3,19.8,0.0105,,
1.633,444,214.8,19.8,0.012,,
1.6405,445,215.3,19.8,0.0105,,
1.649,446,215.8,19.8,0.012,,
1.6575,447,216.3,19.8,0.0105,,
1.6655,448,216.7,19.8,0.01,,
1.674,449,217.2,19.8,0.0105,,
1.6825,450,217.6,19.8,0.012,,
1.69,451,218.1,19.8,0.0105,,
1.6985,452,218.4,19.8,0.012,,
1.707,453,218.9,19.8,0.0105,,
1.7155,454,219.4,19.8,0.0105,,
1.724,455,219.8,19.8,0.0105,,
1.7315,456,220.2,19.8,0.0105,,
1.74,457,220.6,19.8,0.012,,
1.748,458,221,19.8,0.0115,,
1.7565,459,221.4,19.8,0.0105,,
1.765,460,221.8,19.8,0.0105,,
1.7735,461,222.2,19.8,0.0105,,
1.782,462,222.6,19.8,0.0105,,
1.7895,463,222.9,19.8,0.0105,,
1.798,464,223.3,19.8,0.012,,
1.8065,465,223.6,19.8,0.0105,,
1.8145,466,223.9,19.8,0.01,,
1.823,467,224.3,19.8,0.0105,,
1.8315,468,224.7,19.8,0.0105,,
1.839,469,225,19.8,0.0105,,
1.8475,470,225.3,19.8,0.012,,
1.856,471,225.6,19.8,0.0105,,
1.8645,472,226,19.8,0.0105,,
1.873,473,226.3,19.8,0.0105,,
1.881,474,226.6,19.8,0.01,,
1.889,475,226.9,19.8,0.0115,,
1.897,476,227.2,19.8,0.0115,,
1.9055,477,227.6,19.8,0.0105,,
1.914,478,227.8,19.8,0.0105,,
1.9225,479,228.1,19.8,0.0105,,
1.931,480,228.4,19.8,0.012,,
1.9385,481,228.7,19.8,0.0105,,
1.947,482,228.9,19.8,0.012,,
1.9555,483,229.2,19.8,0.0105,,
1.964,484,229.5,19.8,0.0105,,
1.972,485,229.9,19.8,0.01,,
1.9805,486,230.1,19.8,0.012,,
1.988,487,230.4,19.8,0.0105,,
1.9965,488,230.6,19.8,0.012,,
2.005,489,230.9,19.8,0.0105,,
2.0135,490,231.2,19.8,0.0105,,
2.022,491,231.5,19.8,0.0105,,
2.0295,492,231.7,19.8,0.0105,,
2.038,493,232,19.8,0.012,,
2.0465,494,232.1,19.8,0.012,,
2.0545,495,232.4,19.8,0.01,,
2.063,496,232.6,19.8,0.0105,,
2.0715,497,232.9,19.8,0.0105,,
2.079,498,233.1,19.8,0.0105,,
2.0875,499,233.4,19.8,0.012,,
2.096,500,233.6,19.8,0.012,,
2.1045,501,233.9,19.8,0.0105,,
2.1125,502,234.1,19.9,0.01,,
2.119,503,234.3,19.8,0.008,,
2.1255,504,234.5,19.9,0.0095,,
2.128,505,234.7,19.9,0.0035,,
2.1285,506,234.7,19.9,0.0005,,
2.1295,507,234.7,19.9,0.001,,
2.131,508,234.8,19.9,0.002,,
Scope 1/1, Sample 2/9 (20190812_1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,
0,0,-2,19.6,NaN,,
0.001,1,-3.3,19.6,0.001,,
0.0025,2,-3.4,19.6,0.0015,,
0.005,3,-3.5,19.6,0.002,,
0.009,4,-3.5,19.6,0.0035,,
0.015,5,-3.1,19.6,0.0055,,
0.0235,6,-2.2,19.6,0.0075,,
0.032,7,-0.6,19.6,0.0075,,
0.0405,8,0.1,19.6,0.0075,,
0.049,9,1.8,19.6,0.0075,,
0.0565,10,3.1,19.6,0.007,,
0.065,11,4.7,19.6,0.0075,,
0.0735,12,6,19.6,0.0075,,
0.082,13,7.2,19.6,0.0075,,
0.09,14,8.4,19.6,0.0075,,
0.0985,15,9.7,19.6,0.007,,
0.106,16,10.8,19.6,0.007,,
0.1145,17,11.8,19.6,0.0075,,
0.123,18,12.9,19.6,0.0075,,
0.1315,19,13.9,19.6,0.0075,,
0.14,20,14.8,19.6,0.0075,,
0.1485,21,15.5,19.6,0.0075,,
0.156,22,16.3,19.6,0.007,,
0.1645,23,17,19.6,0.0075,,
0.1725,24,17.7,19.6,0.0075,,
0.181,25,18.4,19.6,0.0075,,
0.1895,26,19.1,19.6,0.0075,,
0.198,27,19.9,19.6,0.007,,
0.2055,28,20.5,19.6,0.007,,
0.214,29,21.2,19.6,0.0075,,
0.2225,30,21.9,19.6,0.0075,,
