Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1840
Scope 1/1, Sample 1/3 (20190812_JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-53.8,19.0,NaN,,
0.0010,1,-54.0,19.0,0.0010,,
0.0025,2,-54.0,19.0,0.0015,,
0.0050,3,-54.0,19.0,0.0025,,
0.0090,4,-53.9,19.0,0.0035,,
0.0150,5,-53.6,19.0,0.0055,,
0.0235,6,-53.2,19.0,0.0075,,
0.0320,7,-52.4,19.0,0.0075,,
0.0405,8,-51.5,19.0,0.0075,,
0.0480,9,-50.7,19.0,0.0070,,
0.0565,10,-49.6,19.0,0.0075,,
0.0650,11,-48.3,19.0,0.0075,,
0.0735,12,-46.9,19.0,0.0075,,
0.0815,13,-45.5,19.0,0.0075,,
0.0900,14,-43.9,19.0,0.0075,,
0.0975,15,-42.4,19.0,0.0070,,
0.1060,16,-40.6,19.0,0.0075,,
0.1145,17,-38.6,19.0,0.0075,,
0.1230,18,-36.5,19.0,0.0075,,
0.1315,19,-34.6,19.0,0.0075,,
0.1400,20,-32.5,19.0,0.0075,,
0.1475,21,-30.4,19.0,0.0070,,
0.1560,22,-28.2,19.0,0.0075,,
0.1640,23,-26.1,19.0,0.0075,,
0.1725,24,-24.2,19.0,0.0075,,
0.1810,25,-22.6,19.0,0.0075,,
0.1895,26,-21.0,19.0,0.0075,,
0.1970,27,-19.5,19.0,0.0070,,
0.2055,28,-18.0,19.0,0.0075,,
0.2140,29,-16.6,19.0,0.0075,,
0.2225,30,-15.3,19.0,0.0075,,
0.2310,31,-14.2,19.0,0.0075,,
0.2390,32,-13.1,19.0,0.0075,,
0.2465,33,-12.0,19.0,0.0070,,
0.2550,34,-11.0,19.0,0.0075,,
0.2635,35,-10.0,19.0,0.0075,,
0.2720,36,-9.1,19.0,0.0075,,
0.2805,37,-8.2,19.0,0.0075,,
0.2890,38,-7.3,19.0,0.0085,,
0.2965,39,-6.3,19.0,0.0070,,
0.3050,40,-5.4,19.0,0.0075,,
0.3135,41,-4.5,19.0,0.0075,,
0.3215,42,-3.6,19.0,0.0075,,
0.3300,43,-2.6,19.0,0.0075,,
0.3385,44,-1.3,19.0,0.0075,,
0.3460,45,-0.2,19.0,0.0070,,
0.3545,46,0.1,19.0,0.0075,,
0.3630,47,0.7,19.0,0.0075,,
0.3715,48,1.5,19.0,0.0075,,
0.3800,49,2.3,19.0,0.0075,,
0.3880,50,3.0,19.0,0.0075,,
0.3960,51,3.8,19.0,0.0075,,
0.4040,52,4.5,19.0,0.0075,,
0.4125,53,5.2,19.0,0.0075,,
0.4210,54,5.9,19.0,0.0075,,
0.4295,55,6.5,19.0,0.0075,,
0.4380,56,7.3,19.0,0.0075,,
0.4455,57,8.0,19.0,0.0070,,
0.4540,58,8.8,19.0,0.0075,,
0.4625,59,9.6,19.0,0.0075,,
0.4705,60,10.5,19.0,0.0075,,
0.4790,61,11.5,19.0,0.0075,,
0.4875,62,12.3,19.0,0.0085,,
0.4950,63,13.1,19.0,0.0070,,
0.5035,64,13.8,19.0,0.0075,,
0.5120,65,14.6,19.0,0.0075,,
0.5205,66,15.4,19.0,0.0075,,
0.5290,67,16.1,19.0,0.0075,,
0.5375,68,16.7,19.0,0.0075,,
0.5450,69,17.5,19.0,0.0070,,
0.5535,70,18.4,19.0,0.0075,,
0.5615,71,19.2,19.0,0.0075,,
0.5700,72,19.9,19.0,0.0075,,
0.5785,73,20.7,19.0,0.0075,,
0.5870,74,21.4,19.0,0.0085,,
0.5945,75,22.2,19.0,0.0070,,
0.6030,76,22.9,19.0,0.0075,,
0.6115,77,23.7,19.0,0.0075,,
0.6200,78,24.5,19.0,0.0075,,
0.6280,79,25.3,19.0,0.0075,,
0.6365,80,26.1,19.0,0.0075,,
0.6440,81,26.8,19.0,0.0070,,
0.6525,82,27.6,19.0,0.0075,,
0.6610,83,28.5,19.0,0.0075,,
0.6695,84,29.2,19.0,0.0075,,
0.6780,85,30.0,19.0,0.0075,,
0.6855,86,30.8,19.0,0.0070,,
0.6940,87,31.6,19.0,0.0075,,
0.7025,88,32.5,19.0,0.0075,,
0.7105,89,33.3,19.0,0.0075,,
0.7190,90,34.1,19.0,0.0075,,
0.7275,91,34.9,19.1,0.0075,,
0.7350,92,35.6,19.0,0.0070,,
0.7435,93,36.4,19.1,0.0075,,
0.7520,94,37.2,19.1,0.0075,,
0.7605,95,38.2,19.1,0.0075,,
0.7690,96,39.0,19.0,0.0075,,
0.7770,97,39.9,19.0,0.0075,,
0.7855,98,40.6,19.0,0.0085,,
0.7930,99,41.4,19.0,0.0070,,
0.8015,100,42.4,19.0,0.0075,,
0.8100,101,43.2,19.1,0.0075,,
0.8185,102,44.1,19.1,0.0075,,
0.8270,103,45.1,19.1,0.0075,,
0.8355,104,46.0,19.1,0.0085,,
0.8430,105,46.9,19.1,0.0070,,
0.8515,106,47.8,19.0,0.0075,,
0.8595,107,48.7,19.1,0.0075,,
0.8680,108,49.6,19.1,0.0075,,
0.8765,109,50.7,19.1,0.0075,,
0.8850,110,51.5,19.1,0.0075,,
0.8925,111,52.6,19.1,0.0070,,
0.9010,112,53.4,19.1,0.0075,,
0.9095,113,54.4,19.1,0.0075,,
0.9180,114,55.3,19.1,0.0075,,
0.9260,115,56.2,19.1,0.0075,,
0.9340,116,57.4,19.1,0.0075,,
0.9420,117,58.3,19.1,0.0075,,
0.9505,118,59.3,19.1,0.0075,,
0.9590,119,60.4,19.1,0.0075,,
0.9675,120,61.5,19.1,0.0075,,
0.9760,121,62.5,19.1,0.0075,,
0.9835,122,63.7,19.1,0.0070,,
0.9920,123,64.7,19.1,0.0075,,
1.0005,124,65.8,19.1,0.0075,,
1.0090,125,66.9,19.1,0.0075,,
1.0170,126,68.0,19.1,0.0075,,
1.0255,127,69.1,19.1,0.0075,,
1.0330,128,70.3,19.1,0.0070,,
1.0415,129,71.8,19.1,0.0075,,
1.0500,130,73.1,19.1,0.0075,,
1.0585,131,74.3,19.1,0.0075,,
1.0670,132,75.8,19.1,0.0075,,
1.0755,133,77.2,19.1,0.0075,,
1.0830,134,78.2,19.1,0.0070,,
1.0915,135,79.7,19.1,0.0075,,
1.0995,136,81.2,19.1,0.0075,,
1.1080,137,83.0,19.1,0.0075,,
1.1165,138,84.4,19.1,0.0075,,
1.1250,139,86.6,19.1,0.0075,,
1.1325,140,88.2,19.1,0.0070,,
