Tank.ID,TREATMENT.HISTORY,HEAD.TANK.INITIAL,TRAY.ID.INITIAL,INITIAL.TREATMENT,INITIAL.TREATMENT.ID,HEAD.TANK.SUBSEQUENT,TRAY.ID.SUBSEQUENT,SUBSEQUENT.TREATMENT,TREATMENT.ID.TOTAL,SPLIT.TANK.ID_(TANK1.TANK2)
1,Elevated,T2,2_1,Moderate,EHM,T2,2_1,Moderate,EHMM,1_37
2,Elevated,T2,2_1,Moderate,EHM,T0,0_1,Ambient,EHMA,2_38
3,Elevated,T2,2_1,Moderate,EHM,T2,2_1,Moderate,EHMM,3_39
4,Ambient,T2,2_1,Moderate,AHM,T0,1_2,Ambient,AHMA,4_40
5,Ambient,T2,2_1,Moderate,AHM,T2,2_1,Moderate,AHMM,5_41
6,Ambient,T2,2_1,Moderate,AHM,T0,0_2,Ambient,AHMA,6_42
7,Elevated,T2,2_2,Moderate,EHM,T0,1_2,Ambient,EHMA,7_43
8,Elevated,T2,2_2,Moderate,EHM,T2,2_2,Moderate,EHMM,8_44
9,Elevated,T2,2_2,Moderate,EHM,T0,0_2,Ambient,EHMA,9_45
10,Ambient,T2,2_2,Moderate,AHM,T2,2_2,Moderate,AHMM,10_46
11,Ambient,T2,2_2,Moderate,AHM,T0,0_1,Ambient,AHMA,11_47
12,Ambient,T2,2_2,Moderate,AHM,T2,2_2,Moderate,AHMM,12_48
13,Elevated,T1,1_1,Severe,EHS,T0,1_2,Ambient,EHSA,13_49
14,Ambient,T1,1_1,Severe,AHS,T2,1_1,Moderate,AHSM,14_50
15,Ambient,T1,1_1,Severe,AHS,T0,0_1,Ambient,AHSA,15_51
16,Ambient,T1,1_1,Severe,AHS,T2,1_1,Moderate,AHSM,16_52
17,Elevated,T1,1_1,Severe,EHS,T2,1_1,Moderate,EHSM,17_53
18,Elevated,T1,1_1,Severe,EHS,T0,0_2,Ambient,EHSA,18_54
19,Ambient,T1,1_2,Severe,AHS,T2,2_1,Moderate,AHSM,19_55
20,Elevated,T1,1_2,Severe,EHS,T2,2_1,Moderate,EHSM,20_56
21,Ambient,T1,1_2,Severe,AHS,T0,1_2,Ambient,AHSA,21_57
22,Elevated,T1,1_2,Severe,EHS,T2,2_2,Moderate,EHSM,22_58
23,Elevated,T1,1_2,Severe,EHS,T0,1_2,Ambient,EHSA,23_59
24,Ambient,T1,1_2,Severe,AHS,T0,1_2,Ambient,AHSA,24_60
25,Ambient,T0,0_1,Ambient,AHA,T2,2_1,Moderate,AHAM,25_61
26,Ambient,T0,0_1,Ambient,AHA,T0,0_1,Ambient,AHAA,26_62
