"Date","pval.pH","pval.pCO2","pval.TA","pval.Aragonite.Sat","df.pH","df.pCO2","df.TA","df.Aragonite.Sat","df.Res.pH","df.Res.pCO2","df.Res.TA","df.Res.Aragonite.Sat","F.pH","F.pCO2","F.TA","F.Aragonite.Sat"
20190626,3.27641780785857e-06,8.71694948229329e-07,0.24395958230951,5.32117964968561e-05,1,1,1,1,175.325618762336,258.794072995805,1.61827679543284,75.6637803346283,7,7,7,7
20190703,3.87156068181898e-06,1.37963039996788e-07,0.842811263688092,0.000143464215713606,1,1,1,1,166.872273003588,442.531284256649,0.0423498759392723,55.4723587729175,7,7,7,7
20190709,3.57348216220976e-08,3.36313198504958e-07,0.00311398278647629,7.21937904308556e-09,4,4,4,4,145.78636555929,87.5361975389259,9.14578199224123,209.140600895561,9,9,9,9
20190714,6.66566637881535e-47,1.57047842365811e-44,0.347808017198372,6.78818633914109e-44,2,2,2,2,10359.7130222771,7435.4491919435,1.0906361210654,6802.82348526694,33,33,33,33
20190716,2.16438995954301e-09,7.18380344308185e-09,9.57335898953344e-07,6.3131521103599e-09,4,4,4,4,436.067806918124,322.449522069591,93.2064257020477,333.11302356543,8,8,8,8
20190717,1.1488492788864e-13,8.66127421901865e-14,2.9766463115897e-05,1.63207156687686e-12,4,4,4,4,591.675553662972,620.363585241871,20.1106245282668,378.966665524906,12,12,12,12
20190723,4.18565533123254e-13,9.46656645968391e-15,0.000631033952427854,5.59858786016683e-12,4,4,4,4,476.314964725257,898.707059425026,10.6845240875963,307.949681469009,12,12,12,12
20190724,3.41569954682985e-12,8.89793530981007e-14,0.185588851565006,4.08952385709385e-10,2,2,2,2,19917.2461538515,67195.2825293707,2.25941321518929,4038.69626203107,6,6,6,6
20190725,5.52345642592432e-11,1.88302539655328e-09,0.585225648193296,1.00659899297228e-11,2,2,2,2,7874.42500550078,2426.41958856236,0.586576822417034,13891.2707515224,6,6,6,6
20190726,8.9295575391008e-10,5.18217425095229e-11,0.607871003320248,1.77438741050099e-08,2,2,2,2,3112.38177319738,8043.68963515074,0.541474445203905,1147.19578628942,6,6,6,6
20190727,2.82086216997138e-50,7.02205554567916e-48,0.0485406883655911,1.20451630363207e-47,2,2,2,2,16598.1464359491,11876.022699319,3.32046722351133,11493.3868529189,33,33,33,33
20190728,3.64854848144912e-12,1.30474459599057e-11,0.718210653177216,4.7003688787764e-11,2,2,2,2,19484.1299336145,12740.2269912373,0.349942148937689,8309.73509070017,6,6,6,6
20190729,3.40806140476338e-10,6.75273392167779e-10,0.0155990933427742,5.05408358927021e-10,2,2,2,2,4291.89071662624,3416.49029548737,9.00663944451764,3763.23239477039,6,6,6,6
20190730,5.22636664698731e-13,9.46533005929047e-12,0.00459114703531071,7.72803815433748e-12,2,2,2,2,37240.8552579236,14179.1693564533,15.0501516148387,15170.9332354842,6,6,6,6
20190731,8.89781872719263e-14,1.0498977297473e-13,0.00547884233546651,5.11383209358927e-12,2,2,2,2,67195.5760139383,63589.4546840655,14.0173391285226,17409.9532186534,6,6,6,6
