Date,Tube.ID,Tank.ID,Treatment,Number.animals,Purpose,Location,Notes
20190724,1,H1_T1,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,2,H1_T1,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,3,H1_T1,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,4,H1_T1,Elevated,3,cellular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,5,H1_T2,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,6,H1_T2,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,7,H1_T2,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,8,H1_T2,Ambient,3,cellular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,9,H1_T3,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,10,H1_T3,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,11,H1_T3,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,12,H1_T3,Elevated,3,cellular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,13,H1_T4,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,14,H1_T4,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,15,H1_T4,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,16,H1_T4,Ambient,3,cellular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,17,H1_T5,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,18,H1_T5,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,19,H1_T5,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,20,H1_T5,Elevated,3,cellular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,21,H1_T6,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,22,H1_T6,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,23,H1_T6,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,24,H1_T6,Ambient,3,cellular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,25,H1_T7,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,26,H1_T7,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,27,H1_T7,Elevated,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,28,H1_T7,Elevated,3,cellular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,29,H1_T8,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,30,H1_T8,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,31,H1_T8,Ambient,1,molecular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190724,32,H1_T8,Ambient,3,cellular,Putnam Lab URI -80C,pre-experiment heath stack rearing
20190725,33,1,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,34,1,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,35,1,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,36,1,EHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,37,2,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,38,2,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,39,2,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,40,2,EHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,41,3,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,42,3,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,43,3,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,44,3,EHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,45,4,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,46,4,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,47,4,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,48,4,AHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,49,5,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,50,5,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,51,5,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,52,5,AHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,53,6,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,54,6,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,55,6,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,56,6,AHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,57,7,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,58,7,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,59,7,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,60,7,EHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,61,8,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,62,8,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,63,8,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,64,8,EHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,65,9,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,66,9,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,67,9,EHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,68,9,EHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,69,10,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,70,10,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,71,10,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,72,10,AHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,73,11,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,74,11,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,75,11,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,76,11,AHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,77,12,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,78,12,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,79,12,AHM,1,molecular,Putnam Lab URI -80C,Day1
20190725,80,12,AHM,3,cellular,Putnam Lab URI -80C,Day1
20190725,81,13,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,82,13,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,83,13,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,84,13,EHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,85,14,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,86,14,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,87,14,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,88,14,AHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,89,15,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,90,15,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,91,15,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,92,15,AHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,93,16,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,94,16,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,95,16,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,96,16,AHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,97,17,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,98,17,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,99,17,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,100,17,EHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,101,18,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,102,18,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,103,18,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,104,18,EHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,105,19,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,106,19,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,107,19,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,108,19,AHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,109,20,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,110,20,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,111,20,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,112,20,EHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,113,21,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,114,21,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,115,21,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,116,21,AHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,117,22,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,118,22,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,119,22,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,120,22,EHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,121,23,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,122,23,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,123,23,EHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,124,23,EHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,125,24,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,126,24,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,127,24,AHS,1,molecular,Putnam Lab URI -80C,Day1
20190725,128,24,AHS,3,cellular,Putnam Lab URI -80C,Day1
20190725,129,25,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,130,25,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,131,25,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,132,25,AHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,133,26,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,134,26,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,135,26,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,136,26,AHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,137,27,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,138,27,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,139,27,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,140,27,EHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,141,28,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,142,28,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,143,28,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,144,28,EHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,145,29,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,146,29,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,147,29,EHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,148,29,EHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,149,30,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,150,30,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,151,30,AHA,1,molecular,Putnam Lab URI -80C,Day1
20190725,152,30,AHA,3,cellular,Putnam Lab URI -80C,Day1
20190725,153,31,EHA,1,molecular,Putnam Lab URI -80C,Day1
