"Tube.ID","Date","Tank.ID","Treatment","Number.animals","Purpose","Location","Notes","unknwn","Box.position","Storage.Box.ID"
1,20190724,"H1_T1","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","I6","Sam Gurr 2019 Thresholds Geoduck BOX #1"
2,20190724,"H1_T1","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","E1","Sam Gurr 2019 Thresholds Geoduck BOX #1"
3,20190724,"H1_T1","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","C8","Sam Gurr 2019 Thresholds Geoduck BOX #14"
4,20190724,"H1_T1","Elevated",3,"cellular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","B8","Sam Gurr 2019 Thresholds Geoduck BOX #4"
5,20190724,"H1_T2","Ambient",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","F8","Sam Gurr 2019 Thresholds Geoduck BOX #5"
6,20190724,"H1_T2","Ambient",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","H8","Sam Gurr 2019 Thresholds Geoduck BOX #14"
7,20190724,"H1_T2","Ambient",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","G4","Sam Gurr 2019 Thresholds Geoduck BOX #1"
8,20190724,"H1_T2","Ambient",3,"cellular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","A6","Sam Gurr 2019 Thresholds Geoduck BOX #1"
9,20190724,"H1_T3","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","A3","Sam Gurr 2019 Thresholds Geoduck BOX #14"
10,20190724,"H1_T3","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","D9","Sam Gurr 2019 Thresholds Geoduck BOX #1"
11,20190724,"H1_T3","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","G1","Sam Gurr 2019 Thresholds Geoduck BOX #5"
12,20190724,"H1_T3","Elevated",3,"cellular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","G1","Sam Gurr 2019 Thresholds Geoduck BOX #15"
13,20190724,"H1_T4","Ambient",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","C6","Sam Gurr 2019 Thresholds Geoduck BOX #2"
14,20190724,"H1_T4","Ambient",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","A1","Sam Gurr 2019 Thresholds Geoduck BOX #5"
15,20190724,"H1_T4","Ambient",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","I2","Sam Gurr 2019 Thresholds Geoduck BOX #1"
16,20190724,"H1_T4","Ambient",3,"cellular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","G5","Sam Gurr 2019 Thresholds Geoduck BOX #1"
17,20190724,"H1_T5","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","F6","Sam Gurr 2019 Thresholds Geoduck BOX #2"
18,20190724,"H1_T5","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","G6","Sam Gurr 2019 Thresholds Geoduck BOX #1"
19,20190724,"H1_T5","Elevated",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","F2","Sam Gurr 2019 Thresholds Geoduck BOX #14"
20,20190724,"H1_T5","Elevated",3,"cellular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","H4","Sam Gurr 2019 Thresholds Geoduck BOX #2"
21,20190724,"H1_T6","Ambient",1,"molecular","Putnam Lab URI -80C","pre-experiment heath stack rearing","","D8","Sam Gurr 2019 Thresholds Geoduck BOX #2"
